Test Name,PFE_1
Engineer,
Location,
Test Info,


Time,Elapsed Time,1TC1,1TC2,1TC3,1TC4,1TC5,1TC6,1TC7,1TC8,1TC9,2TC1,2TC2,2TC3,2TC4,2TC5,2TC6,2TC7,2TC8,2TC9,3TC1,3TC2,3TC3,3TC4,3TC5,3TC6,3TC7,3TC8,3TC9,4TC1,4TC2,4TC3,4TC4,Ambient,1GASCO,1GASCO2,1GASO2,2GASCO,2GASCO2,2GASO2,3GASCO,3GASCO2,3GASO2,4GASCO,4GASCO2,4GASO2,WEA_DIR,WEA_VEL,1PT1V,1PT2V,1PT3V,2PT1V,2PT2V,2PT3V,Event
2021-10-22 10:20:11,00:00:01,16.164249,15.752283,15.596128,15.789415,15.812957,16.054049,16.109259,16.517548,16.582436,16.683294,16.541994,16.451830,16.424185,16.396349,16.280003,16.226465,16.225754,16.143898,17.292282,17.092077,16.805441,16.761677,16.771904,16.717674,16.777861,16.770250,16.733858,16.633242,16.686611,16.505346,16.651407,20.539406,0.001737,0.001415,4.223664,0.003347,-0.000516,4.241368,0.002703,0.003669,4.230102,0.002059,-0.000194,4.248128,5.458449,2.223749,2.402398,2.416240,2.414952,2.418493,2.418171,2.315488,
2021-10-22 10:20:12,00:00:02,16.152716,15.762882,15.578160,15.754313,15.769650,16.021219,16.043829,16.543966,16.547146,16.684877,16.540247,16.458885,16.413641,16.397224,16.281355,16.220678,16.204884,16.145632,17.316839,17.086439,16.811440,16.757925,16.749599,16.708925,16.771891,16.767847,16.710762,16.631788,16.683401,16.498329,16.650099,20.661877,0.004312,0.001737,4.223342,0.001094,0.000128,4.245231,-0.001482,0.004956,4.230424,0.003669,-0.001160,4.249738,5.866934,2.250466,2.414952,2.434266,2.436519,2.428793,2.425253,2.359265,
2021-10-22 10:20:13,00:00:03,16.113005,15.769814,15.544862,15.768624,15.760419,16.018654,15.991048,16.530697,16.521965,16.688244,16.532194,16.470579,16.420809,16.404631,16.289711,16.243313,16.221235,16.151514,17.310116,17.054745,16.806181,16.752665,16.746719,16.699385,16.790466,16.782141,16.716255,16.622059,16.670298,16.491884,16.659355,20.821417,0.004956,-0.002125,4.224952,0.001094,0.001094,4.242334,-0.005022,0.008819,4.223342,0.006888,-0.004379,4.251025,5.659956,2.230508,2.427828,2.438450,2.443922,2.441991,2.433300,2.371175,
2021-10-22 10:20:14,00:00:04,16.098989,15.764364,15.550361,15.737467,15.763448,16.070944,15.964804,16.511600,16.555710,16.694630,16.525974,16.471018,16.431898,16.410961,16.279150,16.264160,16.213919,16.175846,17.294722,17.027933,16.803268,16.758314,16.739761,16.693855,16.787209,16.789110,16.724892,16.623560,16.676191,16.493258,16.671432,20.909788,0.003347,0.000128,4.222699,-0.000516,0.003347,4.245231,0.002381,0.003347,4.224308,0.005278,-0.003091,4.254244,4.778931,2.210229,2.438450,2.449394,2.441991,2.453257,2.440060,2.389201,
2021-10-22 10:20:15,00:00:05,16.097599,15.767019,15.561826,15.712987,15.751251,16.073742,15.978312,16.518919,16.561687,16.697990,16.521246,16.461533,16.428501,16.412085,16.279322,16.266474,16.228939,16.179445,17.286430,17.021067,16.801958,16.755341,16.741545,16.697779,16.790796,16.781519,16.758924,16.617393,16.680622,16.491266,16.680861,20.972992,0.002059,0.000772,4.224952,0.001094,0.006244,4.242334,0.005922,-0.000194,4.227527,0.002703,0.000128,4.251347,4.434826,2.186087,2.434909,2.445532,2.443922,2.450038,2.445210,2.387269,
2021-10-22 10:20:16,00:00:06,16.069946,15.716033,15.562967,15.713890,15.736420,16.034880,15.929212,16.549057,16.560478,16.680843,16.495533,16.464128,16.420685,16.405458,16.271269,16.261513,16.209621,16.174881,17.261660,17.007231,16.774651,16.752531,16.728031,16.688547,16.789776,16.766941,16.747913,16.616850,16.677862,16.461149,16.670727,21.023813,0.001737,0.002381,4.227527,0.001415,0.004634,4.238793,0.009785,-0.004057,4.235896,-0.001160,0.002381,4.248128,4.949534,2.190272,2.422999,2.435875,2.427828,2.438450,2.430725,2.359587,
2021-10-22 10:20:17,00:00:07,16.063457,15.653840,15.514100,15.675502,15.758975,16.010548,15.943672,16.479059,16.572870,16.688715,16.508638,16.466293,16.428072,16.393812,16.271517,16.262953,16.238966,16.171864,17.280281,17.002789,16.775297,16.743187,16.735100,16.702990,16.786848,16.775669,16.744272,16.602028,16.687046,16.429651,16.658503,20.964933,-0.000194,0.003669,4.222055,0.003025,0.002703,4.240081,0.006244,-0.001803,4.232356,0.001415,0.003991,4.248772,5.887858,2.198963,2.422356,2.434266,2.427828,2.436841,2.429437,2.352505,
2021-10-22 10:20:18,00:00:08,16.070681,15.625598,15.519423,15.670351,15.741611,15.990569,15.927739,16.396040,16.597565,16.671545,16.516445,16.466486,16.432827,16.403801,16.283173,16.297686,16.249670,16.174240,17.285034,16.997553,16.778910,16.743708,16.755838,16.732054,16.790932,16.792597,16.753590,16.604446,16.688248,16.424904,16.660654,20.975138,0.000450,0.003347,4.221733,0.004634,0.000450,4.238472,0.003347,0.000450,4.235252,0.002703,0.005922,4.242978,5.978954,2.184156,2.426218,2.442957,2.437806,2.441025,2.437485,2.368278,
2021-10-22 10:20:19,00:00:09,16.022013,15.589769,15.542396,15.664756,15.698604,15.941144,15.900922,16.320457,16.607140,16.658997,16.510557,16.457506,16.411386,16.386881,16.268393,16.280527,16.232044,16.160658,17.270748,16.980175,16.761101,16.719000,16.748257,16.717335,16.791399,16.771420,16.752153,16.599918,16.690941,16.399525,16.665489,20.956251,-0.000838,0.004634,4.219480,0.006244,-0.001482,4.247807,0.001737,0.001415,4.237506,0.001737,0.003347,4.246840,5.610384,2.176753,2.440060,2.442957,2.441991,2.446176,2.437485,2.378578,
2021-10-22 10:20:20,00:00:10,16.009199,15.581951,15.524817,15.676695,15.780913,15.951328,15.918485,16.328022,16.565350,16.659786,16.514202,16.461388,16.426785,16.396568,16.278795,16.277130,16.241512,16.171080,17.260477,16.986547,16.765284,16.718903,16.757196,16.741022,16.808294,16.783796,16.762152,16.602543,16.692528,16.387789,16.655659,21.005005,0.001094,0.001737,4.218192,0.004956,0.001094,4.246197,0.002059,0.003347,4.231068,0.003991,0.002059,4.246197,5.298146,2.179971,2.433300,2.443600,2.437163,2.439738,2.437806,2.372140,
2021-10-22 10:20:21,00:00:11,15.999427,15.537180,15.526466,15.664539,15.758925,15.957664,15.936721,16.352201,16.514597,16.670647,16.516024,16.468443,16.411364,16.404701,16.270512,16.294781,16.243057,16.167389,17.257027,16.994749,16.749434,16.736589,16.721365,16.740870,16.799042,16.784533,16.775970,16.598047,16.674871,16.398205,16.652988,21.083881,0.002703,0.001415,4.219480,0.002703,0.000772,4.239437,-0.001482,0.003669,4.229780,0.006566,-0.002125,4.248450,5.300721,2.176109,2.426540,2.435231,2.432334,2.435875,2.431047,2.358299,
2021-10-22 10:20:22,00:00:12,16.003836,15.529925,15.493501,15.741075,15.737756,15.950778,15.936498,16.381481,16.529707,16.668154,16.511152,16.467379,16.406902,16.415468,16.258198,16.294840,16.240244,16.164814,17.236860,16.972437,16.758881,16.741280,16.725105,16.748177,16.793203,16.797485,16.786068,16.600296,16.673515,16.405174,16.628082,21.221888,0.003347,-0.000194,4.222055,0.003669,0.002703,4.239759,-0.000516,0.006244,4.224308,0.005922,-0.003413,4.250703,5.367032,2.153255,2.415274,2.424609,2.423965,2.430725,2.417849,2.337054,
2021-10-22 10:20:23,00:00:13,15.985359,15.452875,15.477635,15.709026,15.761467,15.928553,15.924982,16.417076,16.536016,16.665424,16.514606,16.473211,16.400620,16.400143,16.263096,16.283560,16.245573,16.160862,17.223400,16.946133,16.747295,16.731596,16.750149,16.780832,16.803608,16.793381,16.789337,16.604994,16.677299,16.408720,16.605461,21.349596,0.003025,0.000128,4.222377,0.000772,0.003347,4.237506,0.002381,0.003347,4.223986,0.005600,-0.001482,4.250060,5.202865,2.165164,2.410124,2.429115,2.412055,2.434909,2.427828,2.328041,
2021-10-22 10:20:24,00:00:14,15.976275,15.443789,15.466406,15.692324,15.759040,15.999427,15.940643,16.430115,16.540058,16.651388,16.526024,16.469641,16.409079,16.401703,16.258945,16.279171,16.252304,16.172829,17.219189,16.918377,16.738752,16.709496,16.762300,16.764917,16.802656,16.771975,16.794807,16.590721,16.653994,16.406109,16.586199,21.273060,0.003347,0.000450,4.220767,-0.000516,0.004956,4.241368,0.004956,0.001737,4.229780,0.003669,-0.001160,4.250703,5.034514,2.207654,2.388879,2.415596,2.403686,2.406583,2.407227,2.277504,
2021-10-22 10:20:25,00:00:15,15.987942,15.451651,15.379748,15.653051,15.729957,16.006523,15.967256,16.457193,16.553766,16.655104,16.541634,16.480019,16.408970,16.397787,16.260027,16.277397,16.278595,16.171041,17.224537,16.917542,16.741583,16.736351,16.781305,16.786062,16.813509,16.773788,16.778784,16.593010,16.664513,16.422102,16.571026,21.243252,0.002381,0.001415,4.222699,0.004312,0.002059,4.244587,0.003669,0.001415,4.230102,0.001415,0.001094,4.249738,4.406178,2.243062,2.398214,2.415918,2.384694,2.415918,2.412699,2.302290,
2021-10-22 10:20:26,00:00:16,15.954725,15.426277,15.366755,15.627444,15.690187,15.962002,15.940106,16.475494,16.511370,16.650057,16.547768,16.471878,16.416731,16.392225,16.256605,16.285872,16.288387,16.170364,17.210783,16.909731,16.753893,16.755796,16.776726,16.788143,16.805946,16.775740,16.769318,16.574980,16.659380,16.411972,16.549480,21.071289,-0.000194,0.004312,4.221411,0.002703,0.002381,4.242978,0.006566,-0.001803,4.234609,0.001415,0.003669,4.248128,4.849747,2.249178,2.411411,2.426218,2.396282,2.431690,2.423321,2.342848,
2021-10-22 10:20:27,00:00:17,15.910164,15.445268,15.320508,15.581444,15.648129,15.916858,15.910669,16.473190,16.474810,16.651321,16.533333,16.470528,16.413214,16.389421,16.256420,16.287827,16.279127,16.174669,17.210329,16.894293,16.761066,16.768915,16.748459,16.785803,16.798653,16.780338,16.755363,16.578152,16.640245,16.404255,16.523922,20.960255,-0.000838,0.005922,4.216905,0.005922,0.001737,4.244587,0.003991,-0.002125,4.237506,-0.000194,0.006888,4.244266,5.378620,2.215701,2.438128,2.435875,2.427184,2.442635,2.433300,2.373428,
2021-10-22 10:20:28,00:00:18,15.891931,15.438695,15.337745,15.539639,15.649136,15.882640,15.858363,16.461349,16.459248,16.650747,16.539181,16.487320,16.404543,16.373138,16.264166,16.289148,16.279650,16.160198,17.197058,16.889582,16.755379,16.764893,16.741344,16.769411,16.788853,16.776009,16.749846,16.568588,16.636715,16.408812,16.523243,20.910748,-0.000194,0.004312,4.216261,0.005922,-0.000194,4.246519,0.001094,0.000772,4.236218,0.000450,0.005922,4.246197,5.801590,2.207654,2.442957,2.452935,2.446497,2.452613,2.449073,2.393385,
