TrakPro Version 4.70 ASCII Data File

Model:,DustTrak DRX
Model Number:,8534
Serial Number:,8534194113
Test ID:,017
Test Abbreviation:,TEST 1_017
Start Date:,09/29/2020
Start Time:,12:19:15
Duration (dd:hh:mm:ss):,0:01:00:00
Log Interval (mm:ss):,00:01
Number of points:,3600
Notes:,

Statistics,Channel:,PM1,PM2.5,RESP,PM10,TOTAL
,Units:,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3
,Average:,0.261,0.270,0.290,0.423,0.823
,Minimum:,0.031,0.031,0.031,0.031,0.031
,Time of Minimum:,12:23:16,12:23:16,12:23:16,12:23:16,12:23:16
,Date of Minimum:,09/29/2020,09/29/2020,09/29/2020,09/29/2020,09/29/2020
,Maximum:,11.300,11.500,12.000,16.000,34.700
,Time of Maximum:,13:05:28,13:05:28,13:05:28,13:05:28,13:05:28
,Date of Maximum:,09/29/2020,09/29/2020,09/29/2020,09/29/2020,09/29/2020

Calibration,Sensor:,AEROSOL
,Cal. date,10/10/2019

Date,Time,PM1,PM2.5,RESP,PM10,TOTAL
MM/dd/yyyy,hh:mm:ss,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3
09/29/2020,12:19:16,0.048,0.049,0.050,0.056,0.056
09/29/2020,12:19:17,0.045,0.046,0.047,0.048,0.048
09/29/2020,12:19:18,0.045,0.045,0.046,0.046,0.046
09/29/2020,12:19:19,0.046,0.046,0.047,0.047,0.047
09/29/2020,12:19:20,0.048,0.048,0.049,0.049,0.049
09/29/2020,12:19:21,0.047,0.048,0.049,0.049,0.049
09/29/2020,12:19:22,0.045,0.045,0.046,0.046,0.046
09/29/2020,12:19:23,0.045,0.046,0.046,0.046,0.046
09/29/2020,12:19:24,0.045,0.045,0.046,0.047,0.047
09/29/2020,12:19:25,0.045,0.046,0.046,0.047,0.047
09/29/2020,12:19:26,0.052,0.052,0.052,0.052,0.055
09/29/2020,12:19:27,0.054,0.055,0.055,0.055,0.092
09/29/2020,12:19:28,0.046,0.046,0.047,0.047,0.064
09/29/2020,12:19:29,0.047,0.048,0.049,0.049,0.050
09/29/2020,12:19:30,0.048,0.048,0.049,0.049,0.062
09/29/2020,12:19:31,0.044,0.045,0.045,0.045,0.051
09/29/2020,12:19:32,0.045,0.045,0.045,0.046,0.046
09/29/2020,12:19:33,0.046,0.047,0.047,0.048,0.048
09/29/2020,12:19:34,0.045,0.045,0.046,0.046,0.046
09/29/2020,12:19:35,0.046,0.046,0.047,0.047,0.047
09/29/2020,12:19:36,0.045,0.045,0.045,0.045,0.045
09/29/2020,12:19:37,0.043,0.044,0.044,0.044,0.044
09/29/2020,12:19:38,0.043,0.043,0.043,0.043,0.043
09/29/2020,12:19:39,0.043,0.044,0.044,0.044,0.044
09/29/2020,12:19:40,0.043,0.044,0.044,0.044,0.044
09/29/2020,12:19:41,0.044,0.044,0.044,0.044,0.044
09/29/2020,12:19:42,0.044,0.044,0.045,0.045,0.045
09/29/2020,12:19:43,0.043,0.043,0.044,0.044,0.044
09/29/2020,12:19:44,0.042,0.043,0.043,0.043,0.043
09/29/2020,12:19:45,0.042,0.042,0.042,0.042,0.042
09/29/2020,12:19:46,0.044,0.045,0.045,0.046,0.046
09/29/2020,12:19:47,0.043,0.044,0.044,0.047,0.047
09/29/2020,12:19:48,0.041,0.042,0.042,0.043,0.043
09/29/2020,12:19:49,0.043,0.043,0.043,0.043,0.043
09/29/2020,12:19:50,0.044,0.044,0.044,0.044,0.044
09/29/2020,12:19:51,0.044,0.044,0.045,0.045,0.045
09/29/2020,12:19:52,0.046,0.046,0.047,0.047,0.047
09/29/2020,12:19:53,0.046,0.046,0.047,0.047,0.047
09/29/2020,12:19:54,0.050,0.050,0.051,0.051,0.053
09/29/2020,12:19:55,0.050,0.051,0.052,0.056,0.073
09/29/2020,12:19:56,0.045,0.045,0.045,0.047,0.055
09/29/2020,12:19:57,0.045,0.045,0.046,0.046,0.046
09/29/2020,12:19:58,0.045,0.045,0.045,0.049,0.049
09/29/2020,12:19:59,0.045,0.046,0.046,0.048,0.048
09/29/2020,12:20:00,0.046,0.046,0.046,0.046,0.046
09/29/2020,12:20:01,0.046,0.047,0.047,0.048,0.048
09/29/2020,12:20:02,0.049,0.049,0.049,0.050,0.050
09/29/2020,12:20:03,0.048,0.048,0.048,0.048,0.048
09/29/2020,12:20:04,0.048,0.048,0.048,0.048,0.048
09/29/2020,12:20:05,0.048,0.048,0.049,0.049,0.049
09/29/2020,12:20:06,0.049,0.050,0.051,0.051,0.053
09/29/2020,12:20:07,0.049,0.049,0.050,0.051,0.082
09/29/2020,12:20:08,0.046,0.047,0.047,0.049,0.063
09/29/2020,12:20:09,0.047,0.048,0.048,0.048,0.048
09/29/2020,12:20:10,0.048,0.048,0.049,0.049,0.049
09/29/2020,12:20:11,0.048,0.049,0.049,0.049,0.050
09/29/2020,12:20:12,0.045,0.046,0.047,0.048,0.060
09/29/2020,12:20:13,0.043,0.043,0.044,0.044,0.050
09/29/2020,12:20:14,0.043,0.043,0.044,0.044,0.044
09/29/2020,12:20:15,0.045,0.045,0.046,0.046,0.046
09/29/2020,12:20:16,0.043,0.044,0.044,0.044,0.044
09/29/2020,12:20:17,0.046,0.046,0.047,0.047,0.047
09/29/2020,12:20:18,0.047,0.047,0.047,0.049,0.051
09/29/2020,12:20:19,0.047,0.048,0.048,0.049,0.066
09/29/2020,12:20:20,0.045,0.045,0.045,0.047,0.055
09/29/2020,12:20:21,0.045,0.045,0.045,0.046,0.046
09/29/2020,12:20:22,0.046,0.047,0.047,0.047,0.047
09/29/2020,12:20:23,0.047,0.047,0.047,0.048,0.048
09/29/2020,12:20:24,0.046,0.047,0.047,0.050,0.050
09/29/2020,12:20:25,0.046,0.046,0.046,0.048,0.048
09/29/2020,12:20:26,0.045,0.045,0.046,0.046,0.046
09/29/2020,12:20:27,0.043,0.044,0.044,0.044,0.044
09/29/2020,12:20:28,0.042,0.043,0.043,0.044,0.044
09/29/2020,12:20:29,0.042,0.043,0.043,0.045,0.045
09/29/2020,12:20:30,0.041,0.042,0.042,0.044,0.044
09/29/2020,12:20:31,0.041,0.041,0.041,0.042,0.042
09/29/2020,12:20:32,0.042,0.042,0.042,0.043,0.043
09/29/2020,12:20:33,0.041,0.042,0.042,0.044,0.044
