TrakPro Version 4.70 ASCII Data File

Model:,DustTrak DRX
Model Number:,8534
Serial Number:,8534194113
Test ID:,002
Test Abbreviation:,Ex2_PRE_002
Start Date:,09/30/2020
Start Time:,12:52:02
Duration (dd:hh:mm:ss):,0:01:00:00
Log Interval (mm:ss):,00:01
Number of points:,3600
Notes:,

Statistics,Channel:,PM1,PM2.5,RESP,PM10,TOTAL
,Units:,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3
,Average:,0.490,0.498,0.509,0.556,0.596
,Minimum:,0.055,0.056,0.059,0.072,0.085
,Time of Minimum:,13:43:16,13:43:16,13:43:16,13:43:16,13:43:16
,Date of Minimum:,09/30/2020,09/30/2020,09/30/2020,09/30/2020,09/30/2020
,Maximum:,5.380,5.380,5.390,5.390,5.420
,Time of Maximum:,13:01:55,13:01:55,13:01:55,13:01:55,13:28:37
,Date of Maximum:,09/30/2020,09/30/2020,09/30/2020,09/30/2020,09/30/2020

Calibration,Sensor:,AEROSOL
,Cal. date,10/10/2019

Date,Time,PM1,PM2.5,RESP,PM10,TOTAL
MM/dd/yyyy,hh:mm:ss,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3
09/30/2020,12:52:03,1.160,1.160,1.160,1.160,1.160
09/30/2020,12:52:04,1.230,1.240,1.240,1.240,1.240
09/30/2020,12:52:05,1.290,1.300,1.300,1.300,1.300
09/30/2020,12:52:06,1.180,1.190,1.190,1.190,1.190
09/30/2020,12:52:07,0.801,0.808,0.809,0.809,0.809
09/30/2020,12:52:08,0.651,0.656,0.657,0.657,0.657
09/30/2020,12:52:09,0.583,0.587,0.587,0.587,0.587
09/30/2020,12:52:10,0.682,0.685,0.686,0.686,0.686
09/30/2020,12:52:11,0.725,0.730,0.731,0.731,0.731
09/30/2020,12:52:12,0.666,0.670,0.671,0.671,0.671
09/30/2020,12:52:13,0.577,0.581,0.581,0.581,0.581
09/30/2020,12:52:14,0.560,0.563,0.564,0.564,0.564
09/30/2020,12:52:15,0.645,0.649,0.649,0.650,0.650
09/30/2020,12:52:16,0.619,0.623,0.625,0.625,0.625
09/30/2020,12:52:17,0.602,0.606,0.608,0.609,0.611
09/30/2020,12:52:18,0.648,0.652,0.653,0.655,0.678
09/30/2020,12:52:19,0.768,0.773,0.774,0.777,0.787
09/30/2020,12:52:20,0.745,0.751,0.753,0.754,0.754
09/30/2020,12:52:21,0.706,0.711,0.712,0.712,0.712
09/30/2020,12:52:22,0.726,0.731,0.732,0.732,0.732
09/30/2020,12:52:23,0.938,0.944,0.946,0.946,0.946
09/30/2020,12:52:24,1.220,1.230,1.230,1.230,1.230
09/30/2020,12:52:25,1.260,1.270,1.270,1.270,1.270
09/30/2020,12:52:26,1.100,1.110,1.110,1.110,1.110
09/30/2020,12:52:27,0.843,0.851,0.852,0.854,0.854
09/30/2020,12:52:28,0.883,0.889,0.890,0.890,0.890
09/30/2020,12:52:29,1.000,1.010,1.010,1.010,1.010
09/30/2020,12:52:30,0.845,0.852,0.853,0.853,0.853
09/30/2020,12:52:31,0.850,0.857,0.858,0.859,0.860
09/30/2020,12:52:32,0.941,0.947,0.948,0.953,0.968
09/30/2020,12:52:33,1.260,1.270,1.270,1.280,1.300
09/30/2020,12:52:34,1.380,1.400,1.400,1.400,1.400
09/30/2020,12:52:35,1.470,1.480,1.480,1.480,1.480
09/30/2020,12:52:36,1.520,1.530,1.530,1.530,1.530
09/30/2020,12:52:37,1.480,1.500,1.500,1.500,1.500
09/30/2020,12:52:38,1.430,1.450,1.450,1.450,1.450
09/30/2020,12:52:39,1.370,1.380,1.380,1.390,1.390
09/30/2020,12:52:40,1.360,1.380,1.380,1.380,1.380
09/30/2020,12:52:41,1.440,1.460,1.460,1.460,1.460
09/30/2020,12:52:42,1.530,1.540,1.540,1.540,1.570
09/30/2020,12:52:43,1.430,1.440,1.450,1.450,1.460
09/30/2020,12:52:44,1.370,1.380,1.380,1.380,1.380
09/30/2020,12:52:45,1.430,1.440,1.440,1.440,1.440
09/30/2020,12:52:46,1.450,1.450,1.450,1.460,1.470
09/30/2020,12:52:47,1.420,1.430,1.440,1.440,1.440
09/30/2020,12:52:48,1.480,1.490,1.490,1.490,1.490
09/30/2020,12:52:49,1.570,1.570,1.580,1.580,1.580
09/30/2020,12:52:50,1.600,1.610,1.610,1.610,1.610
09/30/2020,12:52:51,1.570,1.580,1.580,1.580,1.580
09/30/2020,12:52:52,1.590,1.600,1.600,1.600,1.600
09/30/2020,12:52:53,1.680,1.690,1.700,1.700,1.700
09/30/2020,12:52:54,1.540,1.550,1.550,1.550,1.550
09/30/2020,12:52:55,1.340,1.350,1.350,1.350,1.350
09/30/2020,12:52:56,0.939,0.948,0.950,0.950,0.950
09/30/2020,12:52:57,0.987,0.993,0.994,0.996,0.996
09/30/2020,12:52:58,1.050,1.050,1.060,1.060,1.060
09/30/2020,12:52:59,1.140,1.150,1.150,1.150,1.150
09/30/2020,12:53:00,1.280,1.290,1.290,1.290,1.290
09/30/2020,12:53:01,1.260,1.270,1.270,1.270,1.270
09/30/2020,12:53:02,1.250,1.260,1.260,1.260,1.260
09/30/2020,12:53:03,1.210,1.220,1.220,1.220,1.220
09/30/2020,12:53:04,1.150,1.150,1.150,1.160,1.160
09/30/2020,12:53:05,1.160,1.170,1.170,1.170,1.170
09/30/2020,12:53:06,1.240,1.240,1.250,1.250,1.250
09/30/2020,12:53:07,1.300,1.310,1.310,1.310,1.310
09/30/2020,12:53:08,1.310,1.320,1.320,1.320,1.320
09/30/2020,12:53:09,1.220,1.240,1.240,1.240,1.240
09/30/2020,12:53:10,1.210,1.220,1.220,1.220,1.220
09/30/2020,12:53:11,1.200,1.210,1.210,1.210,1.210
09/30/2020,12:53:12,1.170,1.180,1.180,1.190,1.190
09/30/2020,12:53:13,1.190,1.200,1.200,1.200,1.200
09/30/2020,12:53:14,1.280,1.290,1.290,1.290,1.290
09/30/2020,12:53:15,1.270,1.280,1.280,1.280,1.280
09/30/2020,12:53:16,1.290,1.300,1.300,1.300,1.300
09/30/2020,12:53:17,1.030,1.040,1.050,1.050,1.050
09/30/2020,12:53:18,0.793,0.799,0.801,0.801,0.801
09/30/2020,12:53:19,0.977,0.983,0.985,0.985,0.985
09/30/2020,12:53:20,0.770,0.775,0.776,0.776,0.776
09/30/2020,12:53:21,0.608,0.612,0.613,0.613,0.613
09/30/2020,12:53:22,0.620,0.623,0.623,0.623,0.623
09/30/2020,12:53:23,0.694,0.698,0.698,0.700,0.700
09/30/2020,12:53:24,0.582,0.587,0.587,0.588,0.588
09/30/2020,12:53:25,0.734,0.738,0.738,0.739,0.739
09/30/2020,12:53:26,0.734,0.740,0.741,0.751,0.751
09/30/2020,12:53:27,0.699,0.707,0.708,0.715,0.715
09/30/2020,12:53:28,0.915,0.924,0.925,0.933,0.933
09/30/2020,12:53:29,0.893,0.904,0.905,0.909,0.909
09/30/2020,12:53:30,0.774,0.783,0.784,0.785,0.786
09/30/2020,12:53:31,0.815,0.822,0.823,0.828,0.850
