TrakPro Version 4.70 ASCII Data File

Model:,DustTrak DRX
Model Number:,8534
Serial Number:,8534194113
Test ID:,002
Test Abbreviation:,Ex3 PRE_002
Start Date:,10/04/2020
Start Time:,09:11:59
Duration (dd:hh:mm:ss):,0:01:00:00
Log Interval (mm:ss):,00:01
Number of points:,3600
Notes:,

Statistics,Channel:,PM1,PM2.5,RESP,PM10,TOTAL
,Units:,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3
,Average:,0.091,0.098,0.117,0.202,0.292
,Minimum:,0.050,0.057,0.073,0.092,0.105
,Time of Minimum:,09:35:27,09:35:27,09:35:27,09:35:28,09:35:28
,Date of Minimum:,10/04/2020,10/04/2020,10/04/2020,10/04/2020,10/04/2020
,Maximum:,0.236,0.244,0.266,0.408,0.883
,Time of Maximum:,09:58:59,09:58:59,09:58:59,09:58:59,09:59:40
,Date of Maximum:,10/04/2020,10/04/2020,10/04/2020,10/04/2020,10/04/2020

Calibration,Sensor:,AEROSOL
,Cal. date,10/10/2019

Date,Time,PM1,PM2.5,RESP,PM10,TOTAL
MM/dd/yyyy,hh:mm:ss,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3
10/04/2020,09:12:00,0.078,0.084,0.101,0.172,0.279
10/04/2020,09:12:01,0.074,0.080,0.095,0.169,0.206
10/04/2020,09:12:02,0.067,0.073,0.086,0.157,0.177
10/04/2020,09:12:03,0.076,0.081,0.097,0.183,0.193
10/04/2020,09:12:04,0.080,0.085,0.100,0.185,0.202
10/04/2020,09:12:05,0.068,0.073,0.088,0.150,0.160
10/04/2020,09:12:06,0.084,0.089,0.103,0.172,0.210
10/04/2020,09:12:07,0.097,0.102,0.119,0.208,0.287
10/04/2020,09:12:08,0.085,0.090,0.104,0.184,0.271
10/04/2020,09:12:09,0.076,0.082,0.097,0.179,0.229
10/04/2020,09:12:10,0.085,0.091,0.107,0.205,0.245
10/04/2020,09:12:11,0.076,0.081,0.095,0.204,0.221
10/04/2020,09:12:12,0.065,0.071,0.083,0.159,0.198
10/04/2020,09:12:13,0.071,0.077,0.092,0.160,0.224
10/04/2020,09:12:14,0.080,0.085,0.100,0.168,0.224
10/04/2020,09:12:15,0.085,0.092,0.107,0.177,0.229
10/04/2020,09:12:16,0.069,0.075,0.092,0.158,0.261
10/04/2020,09:12:17,0.077,0.082,0.101,0.151,0.235
10/04/2020,09:12:18,0.078,0.084,0.103,0.154,0.197
10/04/2020,09:12:19,0.070,0.076,0.092,0.177,0.196
10/04/2020,09:12:20,0.084,0.090,0.105,0.177,0.288
10/04/2020,09:12:21,0.080,0.086,0.101,0.152,0.278
10/04/2020,09:12:22,0.082,0.088,0.103,0.183,0.283
10/04/2020,09:12:23,0.077,0.083,0.100,0.190,0.224
10/04/2020,09:12:24,0.070,0.076,0.092,0.158,0.198
10/04/2020,09:12:25,0.070,0.076,0.092,0.151,0.202
10/04/2020,09:12:26,0.073,0.078,0.093,0.171,0.219
10/04/2020,09:12:27,0.082,0.087,0.102,0.178,0.217
