TrakPro Version 4.70 ASCII Data File

Model:,DustTrak DRX
Model Number:,8534
Serial Number:,8534194113
Test ID:,002
Test Abbreviation:,BURN 04 POST_002
Start Date:,10/05/2020
Start Time:,12:18:28
Duration (dd:hh:mm:ss):,0:01:00:00
Log Interval (mm:ss):,00:01
Number of points:,3600
Notes:,

Statistics,Channel:,PM1,PM2.5,RESP,PM10,TOTAL
,Units:,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3
,Average:,0.472,0.484,0.487,0.492,0.496
,Minimum:,0.022,0.023,0.023,0.023,0.023
,Time of Minimum:,13:16:25,13:16:25,13:16:25,13:16:25,13:16:25
,Date of Minimum:,10/05/2020,10/05/2020,10/05/2020,10/05/2020,10/05/2020
,Maximum:,6.700,6.990,7.030,7.060,7.060
,Time of Maximum:,12:19:51,12:19:51,12:19:51,12:19:51,12:19:51
,Date of Maximum:,10/05/2020,10/05/2020,10/05/2020,10/05/2020,10/05/2020

Calibration,Sensor:,AEROSOL
,Cal. date,10/10/2019

Date,Time,PM1,PM2.5,RESP,PM10,TOTAL
MM/dd/yyyy,hh:mm:ss,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3
10/05/2020,12:18:29,0.653,0.660,0.662,0.664,0.716
10/05/2020,12:18:30,0.673,0.682,0.684,0.687,0.778
10/05/2020,12:18:31,0.578,0.587,0.589,0.592,0.623
10/05/2020,12:18:32,0.555,0.563,0.564,0.565,0.565
10/05/2020,12:18:33,0.782,0.791,0.793,0.793,0.793
10/05/2020,12:18:34,0.845,0.857,0.859,0.861,0.861
10/05/2020,12:18:35,0.798,0.810,0.811,0.813,0.813
10/05/2020,12:18:36,0.722,0.733,0.734,0.734,0.734
10/05/2020,12:18:37,0.561,0.568,0.569,0.574,0.574
10/05/2020,12:18:38,0.626,0.632,0.632,0.635,0.635
10/05/2020,12:18:39,0.605,0.611,0.611,0.612,0.612
10/05/2020,12:18:40,0.548,0.554,0.554,0.554,0.554
10/05/2020,12:18:41,0.504,0.510,0.511,0.511,0.511
10/05/2020,12:18:42,0.477,0.482,0.483,0.484,0.484
10/05/2020,12:18:43,0.481,0.486,0.487,0.488,0.488
10/05/2020,12:18:44,0.474,0.479,0.482,0.485,0.485
10/05/2020,12:18:45,0.463,0.468,0.471,0.472,0.472
10/05/2020,12:18:46,0.445,0.451,0.453,0.454,0.454
10/05/2020,12:18:47,0.446,0.453,0.454,0.454,0.454
10/05/2020,12:18:48,0.534,0.540,0.542,0.542,0.542
10/05/2020,12:18:49,0.632,0.644,0.647,0.651,0.651
10/05/2020,12:18:50,0.786,0.803,0.807,0.817,0.817
10/05/2020,12:18:51,0.862,0.887,0.891,0.899,0.899
10/05/2020,12:18:52,0.667,0.691,0.695,0.706,0.706
10/05/2020,12:18:53,0.672,0.691,0.695,0.703,0.703
10/05/2020,12:18:54,0.668,0.687,0.689,0.694,0.694
10/05/2020,12:18:55,0.730,0.749,0.751,0.754,0.754
10/05/2020,12:18:56,0.654,0.673,0.675,0.676,0.676
10/05/2020,12:18:57,0.594,0.609,0.612,0.616,0.616
10/05/2020,12:18:58,0.618,0.632,0.634,0.639,0.639
10/05/2020,12:18:59,0.570,0.584,0.586,0.588,0.588
10/05/2020,12:19:00,0.547,0.560,0.562,0.565,0.565
10/05/2020,12:19:01,0.568,0.579,0.582,0.585,0.585
10/05/2020,12:19:02,0.590,0.603,0.605,0.608,0.608
10/05/2020,12:19:03,0.564,0.577,0.579,0.580,0.580
10/05/2020,12:19:04,0.542,0.554,0.556,0.558,0.558
10/05/2020,12:19:05,0.532,0.542,0.543,0.544,0.544
10/05/2020,12:19:06,0.549,0.558,0.560,0.560,0.560
10/05/2020,12:19:07,0.493,0.503,0.504,0.505,0.505
10/05/2020,12:19:08,0.887,0.901,0.902,0.910,0.910
10/05/2020,12:19:09,1.540,1.580,1.590,1.590,1.590
10/05/2020,12:19:10,1.030,1.090,1.100,1.110,1.110
10/05/2020,12:19:11,0.764,0.805,0.810,0.815,0.815
10/05/2020,12:19:12,0.890,0.920,0.922,0.924,0.924
10/05/2020,12:19:13,1.040,1.080,1.080,1.080,1.080
10/05/2020,12:19:14,0.976,1.010,1.020,1.020,1.020
10/05/2020,12:19:15,0.991,1.030,1.040,1.040,1.040
10/05/2020,12:19:16,1.270,1.320,1.320,1.330,1.330
10/05/2020,12:19:17,1.710,1.790,1.790,1.820,1.820
10/05/2020,12:19:18,1.490,1.590,1.600,1.610,1.630
10/05/2020,12:19:19,1.900,1.980,1.990,2.000,2.000
10/05/2020,12:19:20,2.710,2.830,2.840,2.850,2.850
10/05/2020,12:19:21,2.060,2.220,2.230,2.250,2.250
10/05/2020,12:19:22,1.460,1.570,1.580,1.590,1.590
10/05/2020,12:19:23,1.260,1.310,1.310,1.320,1.320
10/05/2020,12:19:24,1.200,1.230,1.230,1.230,1.230
10/05/2020,12:19:25,1.170,1.190,1.200,1.200,1.200
10/05/2020,12:19:26,0.958,0.980,0.983,0.989,0.989
10/05/2020,12:19:27,0.773,0.793,0.797,0.803,0.803
10/05/2020,12:19:28,0.735,0.750,0.756,0.763,0.763
10/05/2020,12:19:29,0.882,0.894,0.897,0.906,0.906
10/05/2020,12:19:30,1.100,1.110,1.110,1.120,1.120
10/05/2020,12:19:31,1.320,1.350,1.350,1.350,1.350
10/05/2020,12:19:32,1.790,1.850,1.860,1.860,1.860
10/05/2020,12:19:33,2.490,2.600,2.610,2.620,2.620
10/05/2020,12:19:34,2.300,2.470,2.480,2.490,2.490
10/05/2020,12:19:35,1.880,2.040,2.050,2.060,2.070
10/05/2020,12:19:36,1.610,1.740,1.750,1.760,1.780
10/05/2020,12:19:37,1.430,1.520,1.530,1.540,1.540
10/05/2020,12:19:38,1.680,1.760,1.770,1.770,1.770
10/05/2020,12:19:39,1.620,1.720,1.730,1.730,1.730
10/05/2020,12:19:40,1.530,1.620,1.620,1.630,1.630
10/05/2020,12:19:41,1.370,1.460,1.460,1.470,1.470
10/05/2020,12:19:42,1.430,1.500,1.510,1.530,1.530
10/05/2020,12:19:43,1.960,2.040,2.050,2.060,2.060
10/05/2020,12:19:44,2.270,2.390,2.400,2.410,2.410
10/05/2020,12:19:45,1.990,2.140,2.150,2.160,2.190
10/05/2020,12:19:46,1.570,1.700,1.710,1.720,1.730
10/05/2020,12:19:47,1.770,1.880,1.890,1.900,1.900
10/05/2020,12:19:48,2.410,2.520,2.530,2.540,2.540
10/05/2020,12:19:49,4.090,4.240,4.260,4.280,4.280
10/05/2020,12:19:50,6.500,6.730,6.760,6.780,6.780
10/05/2020,12:19:51,6.700,6.990,7.030,7.060,7.060
10/05/2020,12:19:52,5.300,5.620,5.670,5.720,5.720
10/05/2020,12:19:53,3.540,3.870,3.900,3.940,3.960
10/05/2020,12:19:54,2.610,2.890,2.910,2.940,2.940
10/05/2020,12:19:55,1.950,2.140,2.160,2.180,2.180
10/05/2020,12:19:56,1.550,1.670,1.680,1.690,1.690
10/05/2020,12:19:57,1.490,1.570,1.580,1.580,1.580
10/05/2020,12:19:58,1.420,1.470,1.470,1.470,1.470
