TrakPro Version 4.70 ASCII Data File

Model:,DustTrak DRX
Model Number:,8534
Serial Number:,8534194113
Test ID:,003
Test Abbreviation:,BURN 05 PRE_003
Start Date:,10/09/2020
Start Time:,08:24:44
Duration (dd:hh:mm:ss):,0:01:00:00
Log Interval (mm:ss):,00:01
Number of points:,3600
Notes:,

Statistics,Channel:,PM1,PM2.5,RESP,PM10,TOTAL
,Units:,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3
,Average:,0.044,0.050,0.065,0.100,0.105
,Minimum:,0.010,0.011,0.013,0.015,0.015
,Time of Minimum:,09:19:53,09:23:12,09:23:12,09:19:54,09:19:54
,Date of Minimum:,10/09/2020,10/09/2020,10/09/2020,10/09/2020,10/09/2020
,Maximum:,0.100,0.111,0.152,0.255,0.283
,Time of Maximum:,08:31:01,08:31:01,08:31:01,08:30:51,08:25:22
,Date of Maximum:,10/09/2020,10/09/2020,10/09/2020,10/09/2020,10/09/2020

Calibration,Sensor:,AEROSOL
,Cal. date,10/10/2019

Date,Time,PM1,PM2.5,RESP,PM10,TOTAL
MM/dd/yyyy,hh:mm:ss,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3
10/09/2020,08:24:45,0.074,0.082,0.103,0.161,0.182
10/09/2020,08:24:46,0.066,0.074,0.097,0.154,0.161
10/09/2020,08:24:47,0.062,0.070,0.092,0.153,0.154
10/09/2020,08:24:48,0.073,0.080,0.100,0.151,0.164
10/09/2020,08:24:49,0.072,0.079,0.100,0.152,0.167
10/09/2020,08:24:50,0.054,0.061,0.081,0.115,0.120
10/09/2020,08:24:51,0.064,0.071,0.090,0.136,0.137
10/09/2020,08:24:52,0.060,0.068,0.084,0.142,0.153
10/09/2020,08:24:53,0.060,0.068,0.084,0.135,0.144
10/09/2020,08:24:54,0.060,0.068,0.086,0.125,0.176
10/09/2020,08:24:55,0.052,0.059,0.082,0.122,0.159
10/09/2020,08:24:56,0.058,0.066,0.087,0.136,0.143
10/09/2020,08:24:57,0.064,0.073,0.097,0.149,0.149
10/09/2020,08:24:58,0.054,0.063,0.086,0.145,0.145
10/09/2020,08:24:59,0.042,0.050,0.068,0.107,0.107
10/09/2020,08:25:00,0.060,0.067,0.083,0.120,0.121
10/09/2020,08:25:01,0.078,0.086,0.107,0.166,0.179
10/09/2020,08:25:02,0.069,0.076,0.100,0.183,0.204
10/09/2020,08:25:03,0.057,0.064,0.086,0.163,0.192
10/09/2020,08:25:04,0.046,0.052,0.072,0.118,0.129
10/09/2020,08:25:05,0.052,0.059,0.078,0.121,0.121
10/09/2020,08:25:06,0.079,0.087,0.108,0.172,0.172
10/09/2020,08:25:07,0.085,0.094,0.122,0.223,0.223
10/09/2020,08:25:08,0.068,0.078,0.106,0.191,0.192
10/09/2020,08:25:09,0.068,0.078,0.105,0.165,0.178
10/09/2020,08:25:10,0.065,0.076,0.098,0.165,0.184
10/09/2020,08:25:11,0.060,0.072,0.091,0.152,0.172
10/09/2020,08:25:12,0.078,0.089,0.111,0.167,0.186
10/09/2020,08:25:13,0.087,0.097,0.124,0.183,0.209
10/09/2020,08:25:14,0.071,0.080,0.107,0.177,0.201
10/09/2020,08:25:15,0.072,0.081,0.104,0.165,0.190
10/09/2020,08:25:16,0.072,0.081,0.102,0.159,0.177
10/09/2020,08:25:17,0.066,0.075,0.098,0.166,0.172
10/09/2020,08:25:18,0.066,0.075,0.094,0.155,0.165
10/09/2020,08:25:19,0.071,0.082,0.108,0.170,0.187
10/09/2020,08:25:20,0.073,0.084,0.109,0.171,0.194
10/09/2020,08:25:21,0.081,0.093,0.120,0.175,0.204
10/09/2020,08:25:22,0.083,0.094,0.121,0.202,0.283
10/09/2020,08:25:23,0.076,0.086,0.112,0.197,0.232
10/09/2020,08:25:24,0.077,0.087,0.114,0.190,0.207
10/09/2020,08:25:25,0.070,0.079,0.103,0.186,0.196
10/09/2020,08:25:26,0.080,0.088,0.110,0.182,0.207
10/09/2020,08:25:27,0.068,0.078,0.100,0.171,0.211
10/09/2020,08:25:28,0.067,0.076,0.097,0.159,0.172
10/09/2020,08:25:29,0.089,0.098,0.121,0.193,0.193
