TrakPro Version 4.70 ASCII Data File

Model:,DustTrak DRX
Model Number:,8534
Serial Number:,8534194113
Test ID:,011
Test Abbreviation:,B05 D5 60min_011
Start Date:,10/14/2020
Start Time:,12:38:56
Duration (dd:hh:mm:ss):,0:01:00:00
Log Interval (mm:ss):,00:01
Number of points:,3600
Notes:,

Statistics,Channel:,PM1,PM2.5,RESP,PM10,TOTAL
,Units:,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3
,Average:,1.290,1.430,1.800,3.200,3.860
,Minimum:,0.003,0.003,0.004,0.004,0.004
,Time of Minimum:,13:00:55,13:01:41,12:47:55,12:47:55,12:47:55
,Date of Minimum:,10/14/2020,10/14/2020,10/14/2020,10/14/2020,10/14/2020
,Maximum:,16.700,17.100,18.900,31.000,45.800
,Time of Maximum:,13:37:49,13:37:49,13:29:52,13:29:53,13:29:53
,Date of Maximum:,10/14/2020,10/14/2020,10/14/2020,10/14/2020,10/14/2020

Calibration,Sensor:,AEROSOL
,Cal. date,10/10/2019

Date,Time,PM1,PM2.5,RESP,PM10,TOTAL
MM/dd/yyyy,hh:mm:ss,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3
10/14/2020,12:38:57,0.006,0.006,0.006,0.006,0.070
10/14/2020,12:38:58,0.006,0.006,0.006,0.006,0.026
10/14/2020,12:38:59,0.007,0.007,0.007,0.007,0.007
10/14/2020,12:39:00,0.008,0.008,0.008,0.009,0.009
10/14/2020,12:39:01,0.007,0.007,0.008,0.009,0.009
10/14/2020,12:39:02,0.006,0.006,0.006,0.007,0.007
10/14/2020,12:39:03,0.006,0.006,0.007,0.007,0.007
10/14/2020,12:39:04,0.007,0.007,0.008,0.008,0.008
10/14/2020,12:39:05,0.007,0.007,0.008,0.008,0.008
10/14/2020,12:39:06,0.007,0.007,0.008,0.011,0.011
10/14/2020,12:39:07,0.007,0.007,0.007,0.009,0.009
10/14/2020,12:39:08,0.005,0.006,0.006,0.006,0.006
10/14/2020,12:39:09,0.006,0.006,0.007,0.008,0.008
10/14/2020,12:39:10,0.006,0.006,0.006,0.007,0.007
10/14/2020,12:39:11,0.006,0.006,0.006,0.006,0.006
10/14/2020,12:39:12,0.006,0.006,0.006,0.006,0.006
10/14/2020,12:39:13,0.005,0.006,0.006,0.006,0.006
10/14/2020,12:39:14,0.006,0.006,0.007,0.007,0.007
10/14/2020,12:39:15,0.006,0.007,0.007,0.008,0.008
10/14/2020,12:39:16,0.007,0.007,0.008,0.010,0.010
10/14/2020,12:39:17,0.006,0.006,0.006,0.007,0.007
10/14/2020,12:39:18,0.006,0.006,0.006,0.006,0.006
10/14/2020,12:39:19,0.006,0.006,0.006,0.007,0.007
10/14/2020,12:39:20,0.005,0.005,0.005,0.006,0.006
10/14/2020,12:39:21,0.005,0.005,0.006,0.006,0.006
10/14/2020,12:39:22,0.005,0.005,0.006,0.006,0.006
10/14/2020,12:39:23,0.005,0.005,0.006,0.006,0.006
10/14/2020,12:39:24,0.005,0.005,0.005,0.005,0.005
10/14/2020,12:39:25,0.006,0.006,0.007,0.007,0.007
10/14/2020,12:39:26,0.005,0.005,0.005,0.006,0.006
