TrakPro Version 4.70 ASCII Data File

Model:,DustTrak DRX
Model Number:,8534
Serial Number:,8534180206
Test ID:,005
Test Abbreviation:,B_05 D5 PM_005
Start Date:,10/14/2020
Start Time:,12:18:58
Duration (dd:hh:mm:ss):,0:04:00:00
Log Interval (mm:ss):,00:01
Number of points:,14400
Notes:,

Statistics,Channel:,PM1,PM2.5,RESP,PM10,TOTAL
,Units:,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3
,Average:,0.988,1.110,1.340,2.290,2.550
,Minimum:,-95.612,0.007,0.007,0.007,0.007
,Time of Minimum:,13:19:01,12:34:52,12:40:25,12:40:25,12:40:25
,Date of Minimum:,10/14/2020,10/14/2020,10/14/2020,10/14/2020,10/14/2020
,Maximum:,42.400,42.500,43.100,48.900,53.600
,Time of Maximum:,16:11:29,16:11:29,16:11:29,16:11:29,16:11:29
,Date of Maximum:,10/14/2020,10/14/2020,10/14/2020,10/14/2020,10/14/2020

Calibration,Sensor:,AEROSOL
,Cal. date,10/18/2019

Date,Time,PM1,PM2.5,RESP,PM10,TOTAL
MM/dd/yyyy,hh:mm:ss,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3
10/14/2020,12:18:59,0.016,0.016,0.016,0.028,0.048
10/14/2020,12:19:00,0.021,0.022,0.022,0.026,0.034
10/14/2020,12:19:01,0.015,0.016,0.017,0.019,0.039
10/14/2020,12:19:02,0.018,0.019,0.019,0.020,0.029
10/14/2020,12:19:03,0.022,0.023,0.024,0.025,0.025
10/14/2020,12:19:04,0.017,0.018,0.019,0.021,0.021
10/14/2020,12:19:05,0.017,0.017,0.018,0.019,0.019
10/14/2020,12:19:06,0.017,0.018,0.019,0.019,0.019
10/14/2020,12:19:07,0.015,0.016,0.017,0.018,0.018
10/14/2020,12:19:08,0.019,0.020,0.021,0.026,0.026
10/14/2020,12:19:09,0.020,0.021,0.022,0.025,0.025
10/14/2020,12:19:10,0.013,0.013,0.014,0.014,0.014
10/14/2020,12:19:11,0.015,0.016,0.016,0.016,0.016
10/14/2020,12:19:12,0.014,0.015,0.016,0.016,0.016
10/14/2020,12:19:13,0.017,0.018,0.018,0.019,0.019
10/14/2020,12:19:14,0.019,0.020,0.020,0.028,0.028
10/14/2020,12:19:15,0.016,0.017,0.018,0.021,0.021
10/14/2020,12:19:16,0.016,0.017,0.018,0.020,0.020
10/14/2020,12:19:17,0.017,0.018,0.019,0.020,0.020
10/14/2020,12:19:18,0.018,0.019,0.020,0.020,0.020
10/14/2020,12:19:19,0.014,0.015,0.016,0.016,0.016
10/14/2020,12:19:20,0.013,0.014,0.015,0.015,0.015
10/14/2020,12:19:21,0.012,0.012,0.013,0.014,0.014
10/14/2020,12:19:22,0.014,0.015,0.016,0.016,0.016
10/14/2020,12:19:23,0.014,0.015,0.016,0.017,0.017
10/14/2020,12:19:24,0.013,0.013,0.014,0.021,0.021
10/14/2020,12:19:25,0.013,0.014,0.014,0.024,0.024
10/14/2020,12:19:26,0.011,0.012,0.013,0.016,0.016
10/14/2020,12:19:27,0.012,0.013,0.013,0.015,0.015
10/14/2020,12:19:28,0.013,0.014,0.015,0.017,0.017
10/14/2020,12:19:29,0.014,0.014,0.015,0.016,0.016
10/14/2020,12:19:30,0.013,0.014,0.014,0.017,0.017
10/14/2020,12:19:31,0.012,0.012,0.013,0.015,0.015
10/14/2020,12:19:32,0.013,0.014,0.014,0.017,0.017
10/14/2020,12:19:33,0.015,0.016,0.017,0.018,0.020
10/14/2020,12:19:34,0.014,0.014,0.015,0.015,0.035
10/14/2020,12:19:35,0.011,0.012,0.012,0.012,0.041
10/14/2020,12:19:36,0.017,0.018,0.018,0.019,0.030
10/14/2020,12:19:37,0.019,0.020,0.021,0.022,0.043
10/14/2020,12:19:38,0.013,0.013,0.014,0.019,0.028
10/14/2020,12:19:39,0.012,0.012,0.014,0.017,0.017
10/14/2020,12:19:40,0.013,0.014,0.014,0.016,0.016
10/14/2020,12:19:41,0.013,0.014,0.015,0.015,0.015
10/14/2020,12:19:42,0.013,0.013,0.014,0.015,0.015
10/14/2020,12:19:43,0.016,0.017,0.017,0.022,0.022
10/14/2020,12:19:44,0.015,0.015,0.016,0.020,0.020
10/14/2020,12:19:45,0.012,0.012,0.013,0.015,0.015
10/14/2020,12:19:46,0.011,0.012,0.012,0.014,0.014
10/14/2020,12:19:47,0.011,0.012,0.013,0.014,0.014
10/14/2020,12:19:48,0.012,0.013,0.013,0.014,0.015
10/14/2020,12:19:49,0.015,0.016,0.016,0.016,0.027
10/14/2020,12:19:50,0.013,0.014,0.014,0.017,0.022
10/14/2020,12:19:51,0.013,0.014,0.014,0.022,0.022
10/14/2020,12:19:52,0.013,0.014,0.014,0.022,0.022
10/14/2020,12:19:53,0.016,0.017,0.018,0.020,0.020
10/14/2020,12:19:54,0.017,0.018,0.019,0.019,0.019
10/14/2020,12:19:55,0.013,0.014,0.015,0.019,0.019
10/14/2020,12:19:56,0.012,0.013,0.014,0.017,0.017
10/14/2020,12:19:57,0.014,0.014,0.015,0.019,0.020
10/14/2020,12:19:58,0.015,0.015,0.016,0.018,0.035
10/14/2020,12:19:59,0.017,0.018,0.018,0.024,0.032
10/14/2020,12:20:00,0.014,0.015,0.016,0.020,0.020
10/14/2020,12:20:01,0.012,0.013,0.014,0.016,0.016
10/14/2020,12:20:02,0.013,0.014,0.015,0.015,0.015
10/14/2020,12:20:03,0.013,0.013,0.015,0.018,0.018
10/14/2020,12:20:04,0.012,0.013,0.014,0.017,0.017
10/14/2020,12:20:05,0.014,0.015,0.016,0.017,0.017
