TrakPro Version 4.70 ASCII Data File						
						
Model:	DustTrak DRX					
Model Number:	8534					
Serial Number:	8534180206					
Test ID:	4					
Test Abbreviation:	Burn_06 Day1 PM					
Start Date:	10/11/2020					
Start Time:	14:12:46	NOTE: Device time was 1 Hour behind. Actual Start time was 13:12				
Duration (dd:hh:mm:ss):	0:04:00:00					
Log Interval (mm:ss):	0:01					
Number of points:	14400					
Notes:						
						
Statistics	Channel:	PM1	PM2.5	RESP	PM10	TOTAL
	Units:	mg/m^3	mg/m^3	mg/m^3	mg/m^3	mg/m^3
	Average:	0.261	0.262	0.263	0.264	0.264
	Minimum:	0.064	0.065	0.066	0.066	0
	Time of Minimum:	15:34:30	15:34:30	15:34:30	15:34:30	14:12:46
	Date of Minimum:	10/11/2020	10/11/2020	10/11/2020	10/11/2020	10/11/2020
	Maximum:	8534	Invalid	3.6	10	0.524
	Time of Maximum:	14:12:46	14:12:46	14:12:46	14:12:46	17:50:17
	Date of Maximum:	10/11/2020	10/11/2020	10/11/2020	10/11/2020	10/11/2020
						
Calibration	Sensor:	AEROSOL				
	Cal. date	10/18/2019				
						
Date	Time	PM1	PM2.5	RESP	PM10	TOTAL
MM/dd/yyyy	hh:mm:ss	mg/m^3	mg/m^3	mg/m^3	mg/m^3	mg/m^3
10/11/2020	14:12:46	8534	Invalid	3.6	10	0
10/11/2020	14:12:47	0.226	0.227	0.228	0.228	0.228
10/11/2020	14:12:48	0.247	0.248	0.248	0.248	0.248
10/11/2020	14:12:49	0.249	0.25	0.25	0.25	0.25
10/11/2020	14:12:50	0.236	0.237	0.238	0.238	0.238
10/11/2020	14:12:51	0.238	0.239	0.24	0.24	0.24
10/11/2020	14:12:52	0.235	0.235	0.236	0.236	0.236
10/11/2020	14:12:53	0.228	0.229	0.229	0.229	0.229
10/11/2020	14:12:54	0.236	0.237	0.237	0.237	0.237
10/11/2020	14:12:55	0.251	0.252	0.253	0.253	0.253
10/11/2020	14:12:56	0.236	0.237	0.238	0.238	0.238
10/11/2020	14:12:57	0.239	0.24	0.241	0.241	0.241
10/11/2020	14:12:58	0.244	0.245	0.246	0.246	0.246
10/11/2020	14:12:59	0.227	0.229	0.23	0.231	0.231
10/11/2020	14:13:00	0.235	0.236	0.237	0.237	0.237
10/11/2020	14:13:01	0.247	0.248	0.248	0.248	0.248
10/11/2020	14:13:02	0.257	0.258	0.258	0.258	0.258
10/11/2020	14:13:03	0.261	0.262	0.263	0.263	0.263
10/11/2020	14:13:04	0.248	0.249	0.249	0.25	0.25
10/11/2020	14:13:05	0.241	0.242	0.243	0.243	0.243
10/11/2020	14:13:06	0.242	0.243	0.243	0.243	0.243
10/11/2020	14:13:07	0.252	0.253	0.254	0.254	0.254
10/11/2020	14:13:08	0.235	0.237	0.237	0.237	0.237
10/11/2020	14:13:09	0.234	0.235	0.236	0.236	0.236
10/11/2020	14:13:10	0.249	0.251	0.251	0.251	0.251
10/11/2020	14:13:11	0.25	0.251	0.251	0.251	0.251
10/11/2020	14:13:12	0.249	0.25	0.251	0.251	0.251
10/11/2020	14:13:13	0.238	0.239	0.24	0.24	0.24
10/11/2020	14:13:14	0.241	0.243	0.243	0.244	0.244
10/11/2020	14:13:15	0.245	0.246	0.246	0.247	0.247
10/11/2020	14:13:16	0.236	0.238	0.238	0.239	0.239
10/11/2020	14:13:17	0.244	0.245	0.246	0.246	0.246
10/11/2020	14:13:18	0.238	0.238	0.239	0.239	0.239
10/11/2020	14:13:19	0.234	0.235	0.235	0.235	0.235
10/11/2020	14:13:20	0.239	0.24	0.24	0.24	0.24
10/11/2020	14:13:21	0.241	0.242	0.243	0.244	0.244
10/11/2020	14:13:22	0.237	0.238	0.238	0.24	0.24
10/11/2020	14:13:23	0.23	0.231	0.231	0.231	0.231
10/11/2020	14:13:24	0.225	0.226	0.226	0.226	0.226
10/11/2020	14:13:25	0.235	0.236	0.237	0.238	0.238
10/11/2020	14:13:26	0.233	0.234	0.235	0.235	0.235
10/11/2020	14:13:27	0.238	0.24	0.24	0.24	0.24
10/11/2020	14:13:28	0.227	0.228	0.228	0.228	0.228
10/11/2020	14:13:29	0.229	0.23	0.23	0.23	0.23
10/11/2020	14:13:30	0.234	0.235	0.236	0.236	0.236
10/11/2020	14:13:31	0.237	0.238	0.239	0.239	0.239
10/11/2020	14:13:32	0.246	0.248	0.248	0.248	0.248
10/11/2020	14:13:33	0.267	0.269	0.269	0.27	0.27
10/11/2020	14:13:34	0.263	0.265	0.265	0.266	0.266
10/11/2020	14:13:35	0.27	0.271	0.271	0.272	0.272
10/11/2020	14:13:36	0.278	0.279	0.279	0.28	0.28
10/11/2020	14:13:37	0.291	0.293	0.294	0.294	0.294
10/11/2020	14:13:38	0.292	0.294	0.295	0.295	0.295
10/11/2020	14:13:39	0.276	0.278	0.279	0.28	0.28
10/11/2020	14:13:40	0.249	0.25	0.251	0.252	0.252
