TrakPro Version 4.70 ASCII Data File

Model:,DustTrak DRX
Model Number:,8534
Serial Number:,8534180206
Test ID:,001
Test Abbreviation:,B_06 D3 AM_001
Start Date:,10/13/2020
Start Time:,09:04:58
Duration (dd:hh:mm:ss):,0:04:00:00
Log Interval (mm:ss):,00:01
Number of points:,14400
Notes:,

Statistics,Channel:,PM1,PM2.5,RESP,PM10,TOTAL
,Units:,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3
,Average:,0.038,0.038,0.039,0.039,0.040
,Minimum:,0.002,0.002,0.002,0.002,0.002
,Time of Minimum:,11:33:13,11:33:13,11:33:13,11:33:13,11:33:13
,Date of Minimum:,10/13/2020,10/13/2020,10/13/2020,10/13/2020,10/13/2020
,Maximum:,0.677,0.678,0.679,0.707,0.728
,Time of Maximum:,09:05:27,09:05:27,09:05:27,09:05:27,09:05:27
,Date of Maximum:,10/13/2020,10/13/2020,10/13/2020,10/13/2020,10/13/2020

Calibration,Sensor:,AEROSOL
,Cal. date,10/18/2019

Date,Time,PM1,PM2.5,RESP,PM10,TOTAL
MM/dd/yyyy,hh:mm:ss,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3
10/13/2020,09:04:59,0.057,0.057,0.057,0.059,0.090
10/13/2020,09:05:00,0.054,0.054,0.054,0.055,0.066
10/13/2020,09:05:01,0.054,0.054,0.054,0.054,0.054
10/13/2020,09:05:02,0.057,0.057,0.057,0.057,0.057
10/13/2020,09:05:03,0.053,0.053,0.053,0.053,0.053
10/13/2020,09:05:04,0.053,0.053,0.053,0.053,0.053
10/13/2020,09:05:05,0.051,0.052,0.052,0.052,0.052
10/13/2020,09:05:06,0.052,0.052,0.052,0.052,0.052
10/13/2020,09:05:07,0.055,0.056,0.056,0.056,0.056
10/13/2020,09:05:08,0.060,0.060,0.060,0.060,0.060
10/13/2020,09:05:09,0.055,0.055,0.056,0.056,0.056
10/13/2020,09:05:10,0.055,0.056,0.056,0.056,0.056
10/13/2020,09:05:11,0.055,0.055,0.055,0.056,0.056
10/13/2020,09:05:12,0.057,0.057,0.057,0.063,0.063
10/13/2020,09:05:13,0.069,0.069,0.069,0.072,0.072
10/13/2020,09:05:14,0.070,0.070,0.070,0.072,0.072
10/13/2020,09:05:15,0.056,0.057,0.057,0.059,0.059
10/13/2020,09:05:16,0.055,0.055,0.055,0.056,0.056
10/13/2020,09:05:17,0.068,0.068,0.068,0.068,0.068
10/13/2020,09:05:18,0.067,0.067,0.067,0.068,0.068
10/13/2020,09:05:19,0.052,0.052,0.052,0.053,0.053
10/13/2020,09:05:20,0.054,0.054,0.054,0.056,0.056
10/13/2020,09:05:21,0.053,0.053,0.053,0.054,0.054
10/13/2020,09:05:22,0.048,0.048,0.048,0.048,0.048
10/13/2020,09:05:23,0.054,0.054,0.054,0.056,0.058
10/13/2020,09:05:24,0.067,0.067,0.068,0.092,0.120
10/13/2020,09:05:25,0.064,0.064,0.065,0.078,0.137
10/13/2020,09:05:26,0.439,0.439,0.440,0.449,0.473
10/13/2020,09:05:27,0.677,0.678,0.679,0.707,0.728
10/13/2020,09:05:28,0.055,0.055,0.056,0.069,0.080
10/13/2020,09:05:29,0.052,0.052,0.053,0.063,0.086
10/13/2020,09:05:30,0.061,0.061,0.062,0.081,0.130
10/13/2020,09:05:31,0.060,0.060,0.060,0.067,0.106
10/13/2020,09:05:32,0.057,0.057,0.057,0.057,0.067
10/13/2020,09:05:33,0.054,0.054,0.055,0.055,0.055
10/13/2020,09:05:34,0.054,0.054,0.054,0.054,0.054
10/13/2020,09:05:35,0.056,0.057,0.057,0.057,0.057
10/13/2020,09:05:36,0.056,0.056,0.057,0.057,0.057
10/13/2020,09:05:37,0.056,0.057,0.057,0.057,0.057
10/13/2020,09:05:38,0.054,0.054,0.055,0.055,0.055
10/13/2020,09:05:39,0.055,0.055,0.055,0.056,0.056
10/13/2020,09:05:40,0.054,0.054,0.055,0.055,0.055
10/13/2020,09:05:41,0.057,0.057,0.058,0.058,0.058
10/13/2020,09:05:42,0.056,0.056,0.057,0.059,0.059
10/13/2020,09:05:43,0.054,0.054,0.054,0.056,0.056
10/13/2020,09:05:44,0.055,0.056,0.056,0.056,0.056
10/13/2020,09:05:45,0.059,0.059,0.059,0.059,0.059
10/13/2020,09:05:46,0.057,0.057,0.058,0.058,0.058
10/13/2020,09:05:47,0.056,0.056,0.057,0.057,0.057
10/13/2020,09:05:48,0.056,0.056,0.057,0.057,0.057
10/13/2020,09:05:49,0.053,0.054,0.054,0.054,0.054
10/13/2020,09:05:50,0.053,0.053,0.053,0.053,0.053
10/13/2020,09:05:51,0.058,0.058,0.058,0.058,0.058
10/13/2020,09:05:52,0.060,0.060,0.060,0.060,0.060
10/13/2020,09:05:53,0.059,0.059,0.059,0.059,0.059
10/13/2020,09:05:54,0.060,0.060,0.060,0.060,0.060
10/13/2020,09:05:55,0.058,0.058,0.058,0.058,0.058
10/13/2020,09:05:56,0.055,0.055,0.056,0.056,0.056
10/13/2020,09:05:57,0.054,0.054,0.055,0.055,0.055
10/13/2020,09:05:58,0.055,0.055,0.056,0.056,0.056
10/13/2020,09:05:59,0.055,0.055,0.055,0.055,0.055
10/13/2020,09:06:00,0.054,0.055,0.055,0.055,0.055
10/13/2020,09:06:01,0.055,0.055,0.055,0.055,0.055
10/13/2020,09:06:02,0.054,0.054,0.054,0.054,0.054
10/13/2020,09:06:03,0.054,0.054,0.054,0.054,0.054
10/13/2020,09:06:04,0.057,0.057,0.057,0.057,0.057
10/13/2020,09:06:05,0.055,0.055,0.055,0.055,0.055
10/13/2020,09:06:06,0.054,0.054,0.054,0.054,0.054
10/13/2020,09:06:07,0.051,0.052,0.052,0.052,0.052
10/13/2020,09:06:08,0.055,0.055,0.055,0.055,0.055
10/13/2020,09:06:09,0.054,0.055,0.055,0.055,0.055
10/13/2020,09:06:10,0.053,0.053,0.053,0.053,0.053
10/13/2020,09:06:11,0.056,0.056,0.057,0.057,0.057
10/13/2020,09:06:12,0.054,0.054,0.054,0.054,0.054
10/13/2020,09:06:13,0.058,0.058,0.058,0.058,0.058
10/13/2020,09:06:14,0.059,0.059,0.059,0.059,0.059
10/13/2020,09:06:15,0.055,0.055,0.055,0.055,0.055
10/13/2020,09:06:16,0.058,0.058,0.059,0.059,0.059
10/13/2020,09:06:17,0.060,0.060,0.060,0.060,0.060
10/13/2020,09:06:18,0.057,0.058,0.058,0.058,0.058
10/13/2020,09:06:19,0.062,0.063,0.063,0.063,0.063
10/13/2020,09:06:20,0.063,0.063,0.063,0.064,0.064
10/13/2020,09:06:21,0.058,0.058,0.058,0.058,0.058
10/13/2020,09:06:22,0.059,0.059,0.059,0.059,0.059
