TrakPro Version 4.70 ASCII Data File

Model:,DustTrak DRX
Model Number:,8534
Serial Number:,8534180206
Test ID:,002
Test Abbreviation:,B_06 D5 PM_002
Start Date:,10/15/2020
Start Time:,12:40:18
Duration (dd:hh:mm:ss):,0:04:00:00
Log Interval (mm:ss):,00:01
Number of points:,14400
Notes:,

Statistics,Channel:,PM1,PM2.5,RESP,PM10,TOTAL
,Units:,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3
,Average:,0.166,0.186,0.221,0.289,0.305
,Minimum:,0.013,0.013,0.013,0.013,0.013
,Time of Minimum:,16:15:58,16:15:59,16:15:59,16:15:59,16:15:59
,Date of Minimum:,10/15/2020,10/15/2020,10/15/2020,10/15/2020,10/15/2020
,Maximum:,7.220,7.670,8.300,9.140,9.340
,Time of Maximum:,13:22:06,13:22:06,13:22:06,13:22:06,13:22:06
,Date of Maximum:,10/15/2020,10/15/2020,10/15/2020,10/15/2020,10/15/2020

Calibration,Sensor:,AEROSOL
,Cal. date,10/18/2019

Date,Time,PM1,PM2.5,RESP,PM10,TOTAL
MM/dd/yyyy,hh:mm:ss,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3
10/15/2020,12:40:19,0.058,0.059,0.062,0.075,0.079
10/15/2020,12:40:20,0.054,0.056,0.057,0.074,0.093
10/15/2020,12:40:21,0.037,0.037,0.038,0.045,0.054
10/15/2020,12:40:22,0.025,0.026,0.026,0.027,0.027
10/15/2020,12:40:23,0.026,0.026,0.027,0.028,0.028
10/15/2020,12:40:24,0.028,0.028,0.029,0.030,0.030
10/15/2020,12:40:25,0.038,0.038,0.039,0.039,0.039
10/15/2020,12:40:26,0.031,0.031,0.031,0.031,0.033
10/15/2020,12:40:27,0.029,0.029,0.029,0.029,0.050
10/15/2020,12:40:28,0.023,0.023,0.023,0.023,0.033
10/15/2020,12:40:29,0.025,0.026,0.026,0.026,0.026
10/15/2020,12:40:30,0.028,0.028,0.029,0.029,0.029
10/15/2020,12:40:31,0.040,0.040,0.041,0.041,0.042
10/15/2020,12:40:32,0.045,0.045,0.046,0.048,0.072
10/15/2020,12:40:33,0.046,0.048,0.053,0.079,0.141
10/15/2020,12:40:34,0.029,0.031,0.034,0.047,0.071
10/15/2020,12:40:35,0.026,0.027,0.028,0.031,0.031
10/15/2020,12:40:36,0.026,0.027,0.029,0.032,0.032
10/15/2020,12:40:37,0.027,0.028,0.029,0.030,0.030
10/15/2020,12:40:38,0.025,0.025,0.026,0.026,0.026
10/15/2020,12:40:39,0.026,0.027,0.027,0.027,0.027
10/15/2020,12:40:40,0.027,0.027,0.028,0.028,0.028
10/15/2020,12:40:41,0.024,0.024,0.025,0.025,0.025
10/15/2020,12:40:42,0.029,0.030,0.030,0.030,0.032
10/15/2020,12:40:43,0.031,0.031,0.031,0.037,0.057
10/15/2020,12:40:44,0.024,0.024,0.024,0.029,0.039
10/15/2020,12:40:45,0.026,0.027,0.027,0.028,0.028
10/15/2020,12:40:46,0.028,0.028,0.029,0.030,0.030
10/15/2020,12:40:47,0.028,0.029,0.029,0.030,0.030
10/15/2020,12:40:48,0.026,0.027,0.027,0.027,0.027
10/15/2020,12:40:49,0.024,0.025,0.025,0.025,0.025
10/15/2020,12:40:50,0.027,0.027,0.028,0.028,0.028
10/15/2020,12:40:51,0.027,0.027,0.027,0.027,0.027
10/15/2020,12:40:52,0.024,0.024,0.024,0.024,0.024
10/15/2020,12:40:53,0.026,0.026,0.026,0.026,0.026
10/15/2020,12:40:54,0.026,0.026,0.026,0.026,0.026
10/15/2020,12:40:55,0.024,0.024,0.025,0.026,0.026
10/15/2020,12:40:56,0.024,0.024,0.025,0.025,0.025
10/15/2020,12:40:57,0.028,0.028,0.029,0.029,0.029
10/15/2020,12:40:58,0.031,0.032,0.032,0.032,0.032
10/15/2020,12:40:59,0.025,0.025,0.025,0.025,0.025
10/15/2020,12:41:00,0.073,0.074,0.074,0.076,0.077
10/15/2020,12:41:01,0.078,0.078,0.079,0.083,0.103
10/15/2020,12:41:02,0.023,0.023,0.024,0.025,0.034
10/15/2020,12:41:03,0.027,0.028,0.028,0.028,0.029
10/15/2020,12:41:04,0.032,0.033,0.035,0.040,0.054
10/15/2020,12:41:05,0.026,0.027,0.029,0.031,0.038
10/15/2020,12:41:06,0.023,0.023,0.024,0.024,0.024
10/15/2020,12:41:07,0.023,0.024,0.024,0.025,0.025
10/15/2020,12:41:08,0.025,0.025,0.025,0.026,0.026
10/15/2020,12:41:09,0.032,0.033,0.033,0.033,0.033
10/15/2020,12:41:10,0.034,0.034,0.035,0.035,0.035
10/15/2020,12:41:11,0.026,0.026,0.027,0.027,0.027
10/15/2020,12:41:12,0.025,0.026,0.026,0.026,0.026
10/15/2020,12:41:13,0.024,0.024,0.025,0.025,0.025
10/15/2020,12:41:14,0.025,0.025,0.026,0.026,0.026
10/15/2020,12:41:15,0.025,0.025,0.026,0.026,0.026
10/15/2020,12:41:16,0.022,0.022,0.023,0.024,0.024
10/15/2020,12:41:17,0.021,0.022,0.022,0.022,0.022
10/15/2020,12:41:18,0.023,0.023,0.023,0.024,0.024
10/15/2020,12:41:19,0.025,0.025,0.026,0.027,0.027
10/15/2020,12:41:20,0.025,0.025,0.026,0.026,0.026
10/15/2020,12:41:21,0.027,0.027,0.028,0.028,0.028
10/15/2020,12:41:22,0.028,0.029,0.029,0.030,0.030
10/15/2020,12:41:23,0.026,0.026,0.026,0.027,0.027
10/15/2020,12:41:24,0.024,0.025,0.025,0.026,0.026
10/15/2020,12:41:25,0.024,0.024,0.024,0.025,0.025
10/15/2020,12:41:26,0.023,0.023,0.024,0.024,0.024
10/15/2020,12:41:27,0.024,0.025,0.025,0.025,0.025
10/15/2020,12:41:28,0.024,0.025,0.025,0.025,0.025
10/15/2020,12:41:29,0.025,0.025,0.026,0.026,0.026
10/15/2020,12:41:30,0.024,0.025,0.025,0.025,0.025
10/15/2020,12:41:31,0.024,0.025,0.025,0.026,0.026
10/15/2020,12:41:32,0.028,0.028,0.029,0.036,0.036
10/15/2020,12:41:33,0.027,0.027,0.028,0.033,0.034
10/15/2020,12:41:34,0.040,0.042,0.044,0.068,0.082
10/15/2020,12:41:35,0.024,0.025,0.027,0.038,0.045
10/15/2020,12:41:36,0.024,0.024,0.025,0.025,0.025
10/15/2020,12:41:37,0.022,0.023,0.023,0.023,0.023
10/15/2020,12:41:38,0.024,0.025,0.025,0.025,0.025
10/15/2020,12:41:39,0.024,0.025,0.025,0.025,0.025
10/15/2020,12:41:40,0.025,0.025,0.025,0.025,0.025
10/15/2020,12:41:41,0.024,0.024,0.025,0.026,0.026
10/15/2020,12:41:42,0.024,0.024,0.025,0.025,0.025
10/15/2020,12:41:43,0.023,0.023,0.024,0.024,0.024
10/15/2020,12:41:44,0.023,0.024,0.024,0.024,0.024
10/15/2020,12:41:45,0.023,0.023,0.024,0.024,0.024
10/15/2020,12:41:46,0.023,0.023,0.023,0.023,0.023
10/15/2020,12:41:47,0.023,0.023,0.023,0.023,0.023
10/15/2020,12:41:48,0.024,0.024,0.025,0.025,0.025
10/15/2020,12:41:49,0.025,0.026,0.027,0.029,0.029
10/15/2020,12:41:50,0.026,0.026,0.028,0.029,0.029
