TrakPro Version 4.70 ASCII Data File

Model:,DustTrak DRX
Model Number:,8534
Serial Number:,8534194113
Test ID:,013
Test Abbreviation:,B07 PRE_013
Start Date:,10/20/2020
Start Time:,08:25:00
Duration (dd:hh:mm:ss):,0:01:00:00
Log Interval (mm:ss):,00:01
Number of points:,3600
Notes:,

Statistics,Channel:,PM1,PM2.5,RESP,PM10,TOTAL
,Units:,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3
,Average:,0.017,0.019,0.022,0.029,0.031
,Minimum:,0.004,0.007,0.009,0.010,0.010
,Time of Minimum:,08:25:01,08:28:41,08:28:41,08:27:53,08:27:53
,Date of Minimum:,10/20/2020,10/20/2020,10/20/2020,10/20/2020,10/20/2020
,Maximum:,0.151,0.154,0.160,0.197,0.655
,Time of Maximum:,08:44:06,08:44:06,08:44:06,08:25:01,08:25:01
,Date of Maximum:,10/20/2020,10/20/2020,10/20/2020,10/20/2020,10/20/2020

Calibration,Sensor:,AEROSOL
,Cal. date,10/10/2019

Date,Time,PM1,PM2.5,RESP,PM10,TOTAL
MM/dd/yyyy,hh:mm:ss,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3
10/20/2020,08:25:01,0.004,0.013,0.040,0.197,0.655
10/20/2020,08:25:02,0.008,0.012,0.023,0.089,0.249
10/20/2020,08:25:03,0.048,0.050,0.052,0.058,0.067
10/20/2020,08:25:04,0.057,0.059,0.064,0.072,0.193
10/20/2020,08:25:05,0.013,0.015,0.019,0.030,0.086
10/20/2020,08:25:06,0.013,0.014,0.017,0.023,0.023
10/20/2020,08:25:07,0.012,0.013,0.016,0.018,0.018
10/20/2020,08:25:08,0.018,0.019,0.022,0.025,0.027
10/20/2020,08:25:09,0.024,0.027,0.029,0.053,0.084
10/20/2020,08:25:10,0.014,0.016,0.018,0.032,0.046
10/20/2020,08:25:11,0.013,0.015,0.016,0.021,0.021
10/20/2020,08:25:12,0.013,0.016,0.017,0.025,0.025
10/20/2020,08:25:13,0.018,0.019,0.025,0.029,0.029
10/20/2020,08:25:14,0.015,0.017,0.022,0.038,0.038
10/20/2020,08:25:15,0.011,0.013,0.016,0.026,0.026
10/20/2020,08:25:16,0.012,0.013,0.016,0.019,0.019
10/20/2020,08:25:17,0.016,0.018,0.021,0.024,0.024
10/20/2020,08:25:18,0.019,0.020,0.024,0.037,0.037
10/20/2020,08:25:19,0.013,0.014,0.018,0.029,0.029
10/20/2020,08:25:20,0.012,0.014,0.017,0.024,0.024
10/20/2020,08:25:21,0.011,0.013,0.015,0.025,0.025
10/20/2020,08:25:22,0.010,0.011,0.014,0.019,0.019
10/20/2020,08:25:23,0.010,0.011,0.013,0.021,0.021
10/20/2020,08:25:24,0.014,0.015,0.016,0.020,0.024
10/20/2020,08:25:25,0.013,0.014,0.015,0.021,0.078
10/20/2020,08:25:26,0.010,0.011,0.013,0.019,0.045
10/20/2020,08:25:27,0.010,0.011,0.013,0.015,0.015
10/20/2020,08:25:28,0.061,0.062,0.065,0.069,0.071
10/20/2020,08:25:29,0.076,0.077,0.080,0.086,0.123
10/20/2020,08:25:30,0.012,0.013,0.015,0.022,0.039
10/20/2020,08:25:31,0.008,0.009,0.010,0.013,0.013
10/20/2020,08:25:32,0.009,0.010,0.011,0.020,0.020
10/20/2020,08:25:33,0.009,0.010,0.011,0.017,0.017
10/20/2020,08:25:34,0.010,0.011,0.013,0.014,0.014
10/20/2020,08:25:35,0.010,0.011,0.012,0.014,0.014
10/20/2020,08:25:36,0.008,0.009,0.011,0.011,0.011
10/20/2020,08:25:37,0.009,0.011,0.013,0.013,0.013
10/20/2020,08:25:38,0.010,0.012,0.013,0.017,0.017
10/20/2020,08:25:39,0.010,0.011,0.014,0.022,0.022
10/20/2020,08:25:40,0.009,0.010,0.012,0.016,0.016
10/20/2020,08:25:41,0.011,0.012,0.013,0.021,0.021
10/20/2020,08:25:42,0.011,0.012,0.013,0.018,0.018
10/20/2020,08:25:43,0.011,0.013,0.015,0.018,0.018
10/20/2020,08:25:44,0.010,0.012,0.014,0.018,0.018
10/20/2020,08:25:45,0.010,0.011,0.013,0.019,0.019
10/20/2020,08:25:46,0.010,0.011,0.012,0.016,0.016
10/20/2020,08:25:47,0.025,0.026,0.028,0.030,0.035
10/20/2020,08:25:48,0.008,0.009,0.012,0.023,0.091
10/20/2020,08:25:49,0.009,0.011,0.013,0.019,0.051
10/20/2020,08:25:50,0.010,0.012,0.013,0.016,0.016
10/20/2020,08:25:51,0.010,0.011,0.013,0.017,0.017
10/20/2020,08:25:52,0.010,0.011,0.013,0.016,0.016
10/20/2020,08:25:53,0.010,0.011,0.013,0.016,0.017
10/20/2020,08:25:54,0.009,0.010,0.011,0.017,0.026
10/20/2020,08:25:55,0.010,0.011,0.013,0.016,0.020
10/20/2020,08:25:56,0.012,0.014,0.016,0.017,0.017
10/20/2020,08:25:57,0.012,0.014,0.016,0.019,0.019
10/20/2020,08:25:58,0.010,0.011,0.015,0.017,0.017
10/20/2020,08:25:59,0.013,0.014,0.016,0.019,0.019
10/20/2020,08:26:00,0.014,0.015,0.017,0.021,0.021
10/20/2020,08:26:01,0.010,0.011,0.013,0.017,0.017
10/20/2020,08:26:02,0.012,0.012,0.014,0.020,0.020
10/20/2020,08:26:03,0.011,0.012,0.014,0.022,0.022
10/20/2020,08:26:04,0.009,0.010,0.011,0.017,0.017
10/20/2020,08:26:05,0.008,0.009,0.010,0.012,0.012
10/20/2020,08:26:06,0.009,0.010,0.011,0.011,0.011
10/20/2020,08:26:07,0.009,0.010,0.011,0.013,0.013
10/20/2020,08:26:08,0.009,0.010,0.011,0.013,0.013
10/20/2020,08:26:09,0.010,0.011,0.013,0.015,0.015
10/20/2020,08:26:10,0.012,0.013,0.014,0.018,0.018
10/20/2020,08:26:11,0.009,0.011,0.011,0.017,0.017
10/20/2020,08:26:12,0.010,0.011,0.012,0.017,0.017
10/20/2020,08:26:13,0.011,0.012,0.014,0.020,0.020
10/20/2020,08:26:14,0.010,0.011,0.012,0.016,0.016
10/20/2020,08:26:15,0.014,0.016,0.017,0.021,0.021
10/20/2020,08:26:16,0.012,0.013,0.016,0.024,0.024
10/20/2020,08:26:17,0.010,0.010,0.012,0.015,0.015
10/20/2020,08:26:18,0.010,0.011,0.013,0.015,0.015
10/20/2020,08:26:19,0.008,0.009,0.012,0.013,0.013
10/20/2020,08:26:20,0.010,0.011,0.013,0.013,0.013
10/20/2020,08:26:21,0.012,0.013,0.015,0.018,0.018
10/20/2020,08:26:22,0.009,0.010,0.012,0.014,0.014
10/20/2020,08:26:23,0.011,0.012,0.015,0.015,0.015
10/20/2020,08:26:24,0.013,0.014,0.017,0.019,0.019
10/20/2020,08:26:25,0.010,0.011,0.013,0.019,0.019
10/20/2020,08:26:26,0.009,0.011,0.013,0.016,0.016
10/20/2020,08:26:27,0.012,0.013,0.014,0.017,0.017
10/20/2020,08:26:28,0.011,0.012,0.014,0.021,0.021
10/20/2020,08:26:29,0.011,0.012,0.013,0.018,0.018
10/20/2020,08:26:30,0.011,0.012,0.014,0.017,0.017
10/20/2020,08:26:31,0.010,0.012,0.014,0.016,0.016
10/20/2020,08:26:32,0.011,0.013,0.014,0.016,0.018
10/20/2020,08:26:33,0.009,0.010,0.012,0.013,0.039
10/20/2020,08:26:34,0.011,0.012,0.013,0.016,0.028
10/20/2020,08:26:35,0.013,0.014,0.016,0.019,0.019
10/20/2020,08:26:36,0.011,0.012,0.013,0.015,0.015
10/20/2020,08:26:37,0.009,0.011,0.012,0.015,0.015
10/20/2020,08:26:38,0.009,0.011,0.012,0.015,0.015
10/20/2020,08:26:39,0.010,0.011,0.013,0.021,0.021
10/20/2020,08:26:40,0.010,0.011,0.012,0.018,0.018
10/20/2020,08:26:41,0.013,0.014,0.016,0.026,0.026
10/20/2020,08:26:42,0.012,0.013,0.015,0.025,0.025
10/20/2020,08:26:43,0.012,0.013,0.014,0.019,0.019
10/20/2020,08:26:44,0.011,0.012,0.015,0.019,0.019
10/20/2020,08:26:45,0.010,0.011,0.013,0.017,0.017
10/20/2020,08:26:46,0.013,0.014,0.015,0.019,0.019
10/20/2020,08:26:47,0.011,0.012,0.015,0.019,0.019
10/20/2020,08:26:48,0.009,0.010,0.011,0.014,0.014
10/20/2020,08:26:49,0.014,0.015,0.017,0.030,0.030
10/20/2020,08:26:50,0.014,0.015,0.018,0.034,0.034
10/20/2020,08:26:51,0.012,0.013,0.016,0.023,0.023
10/20/2020,08:26:52,0.011,0.012,0.014,0.020,0.020
10/20/2020,08:26:53,0.009,0.010,0.011,0.014,0.014
10/20/2020,08:26:54,0.009,0.011,0.013,0.015,0.015
10/20/2020,08:26:55,0.011,0.012,0.015,0.018,0.018
10/20/2020,08:26:56,0.010,0.012,0.015,0.018,0.018
10/20/2020,08:26:57,0.009,0.011,0.014,0.016,0.016
10/20/2020,08:26:58,0.009,0.010,0.012,0.012,0.012
10/20/2020,08:26:59,0.010,0.011,0.013,0.014,0.014
10/20/2020,08:27:00,0.011,0.012,0.015,0.017,0.017
10/20/2020,08:27:01,0.011,0.012,0.016,0.017,0.017
10/20/2020,08:27:02,0.011,0.012,0.016,0.020,0.020
10/20/2020,08:27:03,0.010,0.011,0.013,0.016,0.016
10/20/2020,08:27:04,0.009,0.010,0.012,0.014,0.014
10/20/2020,08:27:05,0.009,0.010,0.011,0.014,0.014
10/20/2020,08:27:06,0.012,0.014,0.015,0.022,0.022
10/20/2020,08:27:07,0.012,0.013,0.016,0.021,0.021
10/20/2020,08:27:08,0.010,0.011,0.013,0.016,0.016
10/20/2020,08:27:09,0.009,0.010,0.011,0.013,0.013
10/20/2020,08:27:10,0.011,0.012,0.014,0.015,0.015
10/20/2020,08:27:11,0.014,0.015,0.018,0.020,0.020
10/20/2020,08:27:12,0.013,0.014,0.017,0.027,0.027
10/20/2020,08:27:13,0.011,0.012,0.015,0.020,0.020
10/20/2020,08:27:14,0.010,0.011,0.013,0.015,0.016
10/20/2020,08:27:15,0.016,0.017,0.018,0.019,0.043
10/20/2020,08:27:16,0.016,0.018,0.022,0.025,0.050
10/20/2020,08:27:17,0.009,0.010,0.012,0.016,0.023
10/20/2020,08:27:18,0.008,0.009,0.011,0.013,0.013
