TrakPro Version 4.70 ASCII Data File

Model:,DustTrak DRX
Model Number:,8534
Serial Number:,8534194113
Test ID:,016
Test Abbreviation:,B08 POST_016
Start Date:,10/21/2020
Start Time:,12:18:00
Duration (dd:hh:mm:ss):,0:01:00:00
Log Interval (mm:ss):,00:01
Number of points:,3600
Notes:,

Statistics,Channel:,PM1,PM2.5,RESP,PM10,TOTAL
,Units:,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3
,Average:,0.118,0.121,0.124,0.133,0.137
,Minimum:,0.019,0.020,0.020,0.020,0.020
,Time of Minimum:,12:25:28,12:25:28,12:25:28,12:25:28,12:25:28
,Date of Minimum:,10/21/2020,10/21/2020,10/21/2020,10/21/2020,10/21/2020
,Maximum:,1.290,1.300,1.310,1.310,1.310
,Time of Maximum:,12:33:15,12:33:15,12:33:15,12:33:15,12:33:15
,Date of Maximum:,10/21/2020,10/21/2020,10/21/2020,10/21/2020,10/21/2020

Calibration,Sensor:,AEROSOL
,Cal. date,10/10/2019

Date,Time,PM1,PM2.5,RESP,PM10,TOTAL
MM/dd/yyyy,hh:mm:ss,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3
10/21/2020,12:18:01,0.033,0.033,0.035,0.065,0.103
10/21/2020,12:18:02,0.026,0.027,0.028,0.038,0.050
10/21/2020,12:18:03,0.027,0.028,0.028,0.028,0.028
10/21/2020,12:18:04,0.030,0.030,0.031,0.031,0.031
10/21/2020,12:18:05,0.031,0.031,0.031,0.031,0.031
10/21/2020,12:18:06,0.031,0.032,0.032,0.032,0.032
10/21/2020,12:18:07,0.032,0.033,0.033,0.033,0.033
10/21/2020,12:18:08,0.034,0.034,0.035,0.035,0.035
10/21/2020,12:18:09,0.036,0.037,0.037,0.037,0.037
10/21/2020,12:18:10,0.037,0.038,0.039,0.041,0.041
10/21/2020,12:18:11,0.036,0.037,0.038,0.039,0.039
10/21/2020,12:18:12,0.034,0.034,0.034,0.034,0.034
10/21/2020,12:18:13,0.031,0.032,0.032,0.032,0.032
10/21/2020,12:18:14,0.030,0.031,0.031,0.031,0.031
10/21/2020,12:18:15,0.029,0.030,0.030,0.034,0.034
10/21/2020,12:18:16,0.025,0.025,0.025,0.027,0.027
10/21/2020,12:18:17,0.021,0.022,0.022,0.022,0.022
10/21/2020,12:18:18,0.025,0.026,0.026,0.026,0.026
10/21/2020,12:18:19,0.027,0.028,0.028,0.028,0.028
10/21/2020,12:18:20,0.028,0.029,0.029,0.029,0.029
10/21/2020,12:18:21,0.031,0.031,0.032,0.032,0.032
10/21/2020,12:18:22,0.031,0.032,0.032,0.032,0.032
10/21/2020,12:18:23,0.029,0.029,0.030,0.030,0.030
10/21/2020,12:18:24,0.029,0.030,0.030,0.031,0.031
10/21/2020,12:18:25,0.029,0.030,0.030,0.034,0.034
10/21/2020,12:18:26,0.028,0.029,0.029,0.031,0.031
10/21/2020,12:18:27,0.032,0.032,0.032,0.033,0.033
10/21/2020,12:18:28,0.035,0.035,0.035,0.039,0.039
10/21/2020,12:18:29,0.029,0.029,0.030,0.031,0.031
10/21/2020,12:18:30,0.026,0.027,0.028,0.029,0.029
10/21/2020,12:18:31,0.030,0.030,0.031,0.032,0.032
10/21/2020,12:18:32,0.034,0.035,0.035,0.035,0.035
10/21/2020,12:18:33,0.035,0.036,0.036,0.036,0.036
10/21/2020,12:18:34,0.035,0.036,0.036,0.036,0.036
10/21/2020,12:18:35,0.032,0.033,0.033,0.033,0.033
10/21/2020,12:18:36,0.026,0.027,0.027,0.027,0.027
10/21/2020,12:18:37,0.025,0.025,0.025,0.025,0.025
10/21/2020,12:18:38,0.028,0.028,0.029,0.029,0.029
10/21/2020,12:18:39,0.030,0.031,0.031,0.031,0.031
10/21/2020,12:18:40,0.032,0.033,0.033,0.033,0.033
10/21/2020,12:18:41,0.033,0.034,0.034,0.034,0.034
10/21/2020,12:18:42,0.034,0.035,0.035,0.035,0.035
10/21/2020,12:18:43,0.037,0.038,0.038,0.038,0.038
10/21/2020,12:18:44,0.033,0.034,0.035,0.035,0.035
10/21/2020,12:18:45,0.029,0.030,0.030,0.030,0.030
10/21/2020,12:18:46,0.032,0.033,0.033,0.033,0.033
10/21/2020,12:18:47,0.033,0.034,0.034,0.034,0.034
10/21/2020,12:18:48,0.031,0.032,0.032,0.032,0.032
10/21/2020,12:18:49,0.032,0.033,0.033,0.033,0.033
10/21/2020,12:18:50,0.037,0.038,0.039,0.039,0.039
10/21/2020,12:18:51,0.043,0.044,0.044,0.044,0.044
10/21/2020,12:18:52,0.044,0.044,0.044,0.044,0.044
10/21/2020,12:18:53,0.033,0.034,0.034,0.034,0.034
10/21/2020,12:18:54,0.021,0.022,0.022,0.022,0.022
10/21/2020,12:18:55,0.026,0.027,0.028,0.028,0.028
10/21/2020,12:18:56,0.030,0.031,0.031,0.031,0.031
10/21/2020,12:18:57,0.032,0.033,0.033,0.033,0.033
10/21/2020,12:18:58,0.029,0.029,0.029,0.029,0.029
10/21/2020,12:18:59,0.029,0.030,0.031,0.031,0.031
10/21/2020,12:19:00,0.037,0.038,0.038,0.038,0.038
10/21/2020,12:19:01,0.038,0.039,0.040,0.040,0.040
10/21/2020,12:19:02,0.037,0.038,0.039,0.042,0.042
10/21/2020,12:19:03,0.040,0.040,0.041,0.045,0.045
10/21/2020,12:19:04,0.041,0.042,0.043,0.044,0.044
10/21/2020,12:19:05,0.036,0.037,0.039,0.039,0.039
10/21/2020,12:19:06,0.034,0.035,0.035,0.037,0.037
10/21/2020,12:19:07,0.037,0.038,0.039,0.039,0.040
10/21/2020,12:19:08,0.046,0.047,0.048,0.049,0.058
10/21/2020,12:19:09,0.064,0.065,0.065,0.066,0.070
10/21/2020,12:19:10,0.076,0.077,0.078,0.078,0.078
10/21/2020,12:19:11,0.068,0.069,0.070,0.070,0.070
10/21/2020,12:19:12,0.046,0.048,0.048,0.050,0.050
10/21/2020,12:19:13,0.046,0.046,0.047,0.049,0.049
10/21/2020,12:19:14,0.043,0.044,0.045,0.046,0.046
10/21/2020,12:19:15,0.043,0.044,0.046,0.054,0.054
10/21/2020,12:19:16,0.045,0.045,0.047,0.051,0.051
10/21/2020,12:19:17,0.041,0.042,0.044,0.046,0.046
10/21/2020,12:19:18,0.041,0.042,0.043,0.044,0.044
10/21/2020,12:19:19,0.041,0.042,0.043,0.043,0.043
10/21/2020,12:19:20,0.047,0.048,0.049,0.049,0.049
10/21/2020,12:19:21,0.052,0.053,0.053,0.053,0.053
10/21/2020,12:19:22,0.045,0.046,0.047,0.047,0.047
10/21/2020,12:19:23,0.036,0.037,0.037,0.037,0.037
10/21/2020,12:19:24,0.040,0.041,0.042,0.042,0.042
10/21/2020,12:19:25,0.034,0.036,0.036,0.036,0.036
10/21/2020,12:19:26,0.032,0.033,0.033,0.035,0.035
10/21/2020,12:19:27,0.033,0.034,0.034,0.041,0.041
10/21/2020,12:19:28,0.031,0.031,0.032,0.034,0.034
10/21/2020,12:19:29,0.036,0.037,0.037,0.037,0.037
10/21/2020,12:19:30,0.041,0.042,0.044,0.044,0.044
10/21/2020,12:19:31,0.043,0.044,0.045,0.045,0.045
10/21/2020,12:19:32,0.039,0.040,0.040,0.040,0.040
10/21/2020,12:19:33,0.041,0.042,0.042,0.042,0.042
10/21/2020,12:19:34,0.045,0.046,0.047,0.048,0.048
10/21/2020,12:19:35,0.047,0.048,0.049,0.050,0.050
10/21/2020,12:19:36,0.051,0.052,0.052,0.057,0.057
10/21/2020,12:19:37,0.054,0.055,0.055,0.058,0.058
10/21/2020,12:19:38,0.052,0.053,0.053,0.055,0.055
10/21/2020,12:19:39,0.058,0.060,0.060,0.061,0.061
10/21/2020,12:19:40,0.061,0.062,0.062,0.063,0.063
10/21/2020,12:19:41,0.047,0.048,0.049,0.050,0.050
10/21/2020,12:19:42,0.048,0.048,0.049,0.049,0.049
10/21/2020,12:19:43,0.047,0.048,0.048,0.048,0.048
10/21/2020,12:19:44,0.042,0.043,0.044,0.044,0.044
10/21/2020,12:19:45,0.042,0.043,0.043,0.043,0.043
10/21/2020,12:19:46,0.038,0.039,0.040,0.040,0.040
10/21/2020,12:19:47,0.039,0.040,0.040,0.040,0.040
10/21/2020,12:19:48,0.043,0.044,0.044,0.044,0.044
10/21/2020,12:19:49,0.044,0.046,0.046,0.046,0.046
10/21/2020,12:19:50,0.044,0.044,0.045,0.045,0.045
10/21/2020,12:19:51,0.041,0.042,0.042,0.042,0.042
10/21/2020,12:19:52,0.042,0.043,0.043,0.045,0.045
10/21/2020,12:19:53,0.055,0.056,0.056,0.060,0.060
10/21/2020,12:19:54,0.068,0.069,0.069,0.071,0.071
10/21/2020,12:19:55,0.066,0.067,0.067,0.068,0.068
10/21/2020,12:19:56,0.050,0.051,0.051,0.052,0.052
10/21/2020,12:19:57,0.044,0.045,0.045,0.045,0.045
10/21/2020,12:19:58,0.041,0.042,0.042,0.042,0.042
10/21/2020,12:19:59,0.040,0.041,0.041,0.042,0.042
10/21/2020,12:20:00,0.044,0.044,0.045,0.045,0.045
10/21/2020,12:20:01,0.044,0.045,0.045,0.045,0.045
10/21/2020,12:20:02,0.046,0.047,0.047,0.047,0.047
10/21/2020,12:20:03,0.054,0.054,0.055,0.055,0.055
10/21/2020,12:20:04,0.078,0.079,0.080,0.081,0.081
10/21/2020,12:20:05,0.105,0.106,0.106,0.107,0.107
10/21/2020,12:20:06,0.077,0.078,0.079,0.079,0.079
10/21/2020,12:20:07,0.066,0.067,0.068,0.068,0.068
10/21/2020,12:20:08,0.070,0.071,0.072,0.072,0.072
10/21/2020,12:20:09,0.074,0.074,0.074,0.076,0.076
10/21/2020,12:20:10,0.105,0.106,0.106,0.107,0.107
10/21/2020,12:20:11,0.161,0.162,0.162,0.163,0.163
10/21/2020,12:20:12,0.173,0.175,0.175,0.175,0.175
10/21/2020,12:20:13,0.177,0.179,0.179,0.179,0.179
10/21/2020,12:20:14,0.134,0.135,0.136,0.136,0.136
10/21/2020,12:20:15,0.114,0.115,0.116,0.116,0.116
10/21/2020,12:20:16,0.128,0.129,0.129,0.129,0.129
10/21/2020,12:20:17,0.141,0.142,0.143,0.143,0.143
10/21/2020,12:20:18,0.150,0.151,0.151,0.152,0.152
10/21/2020,12:20:19,0.143,0.144,0.144,0.144,0.144
10/21/2020,12:20:20,0.140,0.141,0.142,0.142,0.142
10/21/2020,12:20:21,0.122,0.123,0.123,0.123,0.123
10/21/2020,12:20:22,0.092,0.093,0.094,0.094,0.094
10/21/2020,12:20:23,0.076,0.077,0.077,0.077,0.077
10/21/2020,12:20:24,0.071,0.071,0.072,0.072,0.072
10/21/2020,12:20:25,0.057,0.058,0.058,0.058,0.058
10/21/2020,12:20:26,0.030,0.031,0.031,0.031,0.031
10/21/2020,12:20:27,0.032,0.033,0.033,0.033,0.033
10/21/2020,12:20:28,0.043,0.044,0.044,0.044,0.044
10/21/2020,12:20:29,0.052,0.053,0.054,0.054,0.054
10/21/2020,12:20:30,0.051,0.052,0.052,0.052,0.052
10/21/2020,12:20:31,0.057,0.058,0.058,0.058,0.058
10/21/2020,12:20:32,0.066,0.067,0.068,0.068,0.068
10/21/2020,12:20:33,0.076,0.077,0.077,0.078,0.078
10/21/2020,12:20:34,0.069,0.070,0.070,0.073,0.073
10/21/2020,12:20:35,0.054,0.055,0.055,0.057,0.057
10/21/2020,12:20:36,0.054,0.054,0.055,0.055,0.055
10/21/2020,12:20:37,0.066,0.067,0.068,0.068,0.068
10/21/2020,12:20:38,0.068,0.068,0.069,0.069,0.069
10/21/2020,12:20:39,0.069,0.070,0.070,0.070,0.070
10/21/2020,12:20:40,0.066,0.067,0.067,0.067,0.067
10/21/2020,12:20:41,0.066,0.067,0.068,0.068,0.068
10/21/2020,12:20:42,0.065,0.067,0.067,0.068,0.068
10/21/2020,12:20:43,0.208,0.209,0.209,0.210,0.211
10/21/2020,12:20:44,0.215,0.216,0.217,0.219,0.233
10/21/2020,12:20:45,0.083,0.084,0.084,0.085,0.092
10/21/2020,12:20:46,0.115,0.116,0.117,0.117,0.117
10/21/2020,12:20:47,0.097,0.098,0.099,0.105,0.105
10/21/2020,12:20:48,0.096,0.097,0.098,0.101,0.101
10/21/2020,12:20:49,0.097,0.098,0.099,0.099,0.099
10/21/2020,12:20:50,0.087,0.088,0.088,0.088,0.088
10/21/2020,12:20:51,0.110,0.111,0.111,0.113,0.113
10/21/2020,12:20:52,0.107,0.108,0.108,0.109,0.109
10/21/2020,12:20:53,0.063,0.064,0.064,0.065,0.065
10/21/2020,12:20:54,0.035,0.036,0.037,0.037,0.037
10/21/2020,12:20:55,0.064,0.064,0.065,0.067,0.067
10/21/2020,12:20:56,0.096,0.097,0.098,0.099,0.099
10/21/2020,12:20:57,0.125,0.126,0.126,0.126,0.126
10/21/2020,12:20:58,0.115,0.116,0.116,0.117,0.117
10/21/2020,12:20:59,0.112,0.113,0.114,0.114,0.114
10/21/2020,12:21:00,0.131,0.132,0.132,0.133,0.133
10/21/2020,12:21:01,0.092,0.093,0.093,0.096,0.096
10/21/2020,12:21:02,0.040,0.041,0.041,0.043,0.043
10/21/2020,12:21:03,0.092,0.093,0.093,0.093,0.093
10/21/2020,12:21:04,0.132,0.133,0.133,0.134,0.134
10/21/2020,12:21:05,0.120,0.121,0.122,0.125,0.125
10/21/2020,12:21:06,0.115,0.116,0.116,0.118,0.118
10/21/2020,12:21:07,0.120,0.121,0.121,0.122,0.122
10/21/2020,12:21:08,0.111,0.112,0.113,0.113,0.113
10/21/2020,12:21:09,0.113,0.114,0.115,0.115,0.115
10/21/2020,12:21:10,0.122,0.123,0.123,0.123,0.123
10/21/2020,12:21:11,0.117,0.119,0.119,0.120,0.120
10/21/2020,12:21:12,0.101,0.102,0.103,0.103,0.103
10/21/2020,12:21:13,0.083,0.084,0.084,0.084,0.084
10/21/2020,12:21:14,0.074,0.075,0.075,0.075,0.075
10/21/2020,12:21:15,0.064,0.065,0.065,0.065,0.065
10/21/2020,12:21:16,0.077,0.078,0.078,0.078,0.078
